,original vs detected,count
0,"(Rock&Pop, World)",1
1,"(Hip-Hop, Rock&Pop)",5
2,"(Blues, Blues)",5
3,"(Country, Alternative&Punk)",4
4,"(Soundtracks&More, NewAge)",2
5,"(Comedy&SpokenWord, Electronic&Dance)",5
6,"(Comedy&SpokenWord, Classical)",1
7,"(Hip-Hop, Childrens's)",3
8,"(Alternative&Punk, Electronic&Dance)",2
9,"(Religious, Blues)",1
10,"(World, Country)",8
11,"(Electronic&Dance, World)",1
12,"(Childrens's, Classical)",1
13,"(Latin, EasyListening&Vocals)",3
14,"(Rock&Pop, Folk)",1
15,"(Folk, R&B&Soul)",4
16,"(Blues, Jazz)",4
17,"(Alternative&Punk, Reggae)",6
18,"(Electronic&Dance, Alternative&Punk)",2
19,"(World, Childrens's)",2
20,"(Hip-Hop, Comedy&SpokenWord)",3
21,"(EasyListening&Vocals, Reggae)",4
22,"(Country, World)",1
23,"(Childrens's, Religious)",1
24,"(World, Electronic&Dance)",5
25,"(Childrens's, Rock&Pop)",4
26,"(Soundtracks&More, Electronic&Dance)",4
27,"(Rock&Pop, Hip-Hop)",1
28,"(R&B&Soul, R&B&Soul)",9
29,"(Rock&Pop, Religious)",2
30,"(Latin, Country)",4
31,"(EasyListening&Vocals, R&B&Soul)",7
32,"(Rock&Pop, R&B&Soul)",2
33,"(Reggae, NewAge)",3
34,"(Hip-Hop, Electronic&Dance)",1
35,"(Latin, Religious)",1
36,"(NewAge, Classical)",4
37,"(Blues, Comedy&SpokenWord)",5
38,"(Blues, Latin)",2
39,"(R&B&Soul, Religious)",6
40,"(NewAge, EasyListening&Vocals)",2
41,"(Alternative&Punk, Folk)",2
42,"(Alternative&Punk, Classical)",1
43,"(Soundtracks&More, Latin)",3
44,"(Country, Religious)",3
45,"(World, Folk)",3
46,"(Blues, NewAge)",4
47,"(Alternative&Punk, Hip-Hop)",6
48,"(Jazz, Jazz)",9
49,"(EasyListening&Vocals, Jazz)",1
50,"(Childrens's, World)",2
51,"(Rock&Pop, Jazz)",1
52,"(Alternative&Punk, Alternative&Punk)",5
53,"(Electronic&Dance, Religious)",4
54,"(Jazz, Comedy&SpokenWord)",2
55,"(Country, Latin)",3
56,"(Jazz, Hip-Hop)",1
57,"(Latin, Alternative&Punk)",3
58,"(Classical, Country)",3
59,"(Latin, R&B&Soul)",8
60,"(Blues, R&B&Soul)",3
61,"(Latin, Folk)",5
62,"(Alternative&Punk, Childrens's)",2
63,"(EasyListening&Vocals, Electronic&Dance)",5
64,"(Religious, R&B&Soul)",8
65,"(Alternative&Punk, EasyListening&Vocals)",1
66,"(World, NewAge)",2
67,"(Alternative&Punk, R&B&Soul)",7
68,"(Soundtracks&More, Comedy&SpokenWord)",1
69,"(R&B&Soul, Soundtracks&More)",2
70,"(Jazz, World)",1
71,"(Jazz, Folk)",2
72,"(Jazz, Rock&Pop)",4
73,"(Comedy&SpokenWord, Hip-Hop)",3
74,"(Classical, Comedy&SpokenWord)",1
75,"(Latin, Childrens's)",3
76,"(Hip-Hop, Soundtracks&More)",4
77,"(EasyListening&Vocals, Religious)",5
78,"(Religious, Folk)",2
79,"(NewAge, Soundtracks&More)",1
