,"original vs detected","count",,,,,,,
104,"(Rock&Pop, Country)",23,,,,,,,
214,"(Country, Country)",21,,,,,,,
21,"(Latin, Country)",16,,,,,,,
180,"(Classical, Classical)",16,,,,,,,
228,"(Comedy&SpokenWord, Comedy&SpokenWord)",14,,,,,,,
43,"(Alternative&Punk, Alternative&Punk)",14,,,,,,,
174,"(Religious, Alternative&Punk)",13,,,,,,,
156,"(Reggae, Country)",13,,,,,,,
191,"(Country, Blues)",13,,,,,,,
248,"(Classical, Folk)",13,,,,,,,
126,"(Childrens's, Country)",13,,,,,,,
234,"(Alternative&Punk, Country)",13,,,,,,,
167,"(Latin, Latin)",12,,,,,,,
179,"(Rock&Pop, Comedy&SpokenWord)",11,,,,,,,
18,"(R&B&Soul, R&B&Soul)",11,,,,,,,
225,"(Electronic&Dance, Electronic&Dance)",10,,,,,,,
2,"(Country, Alternative&Punk)",10,,,,,,,
23,"(Rock&Pop, R&B&Soul)",9,,,,,,,
121,"(R&B&Soul, Country)",9,,,,,,,
205,"(Folk, Country)",9,,,,,,,
148,"(EasyListening&Vocals, Country)",9,,,,,,,
97,"(Classical, NewAge)",9,,,,,,,
222,"(Soundtracks&More, Soundtracks&More)",8,,,,,,,
219,"(Rock&Pop, Latin)",8,,,,,,"(Rock&Pop, Country)",23
220,"(Rock&Pop, Blues)",8,,,,,,"(Rock&Pop, Comedy&SpokenWord)",11
50,"(Latin, Folk)",8,,,,,,"(Rock&Pop, R&B&Soul)",9
89,"(Jazz, R&B&Soul)",8,,,,,,"(Rock&Pop, Latin)",8
20,"(EasyListening&Vocals, R&B&Soul)",8,,,,,,"(Rock&Pop, Blues)",8
132,"(Alternative&Punk, Rock&Pop)",8,,,,,,"(Rock&Pop, Rock&Pop)",7
6,"(World, Country)",7,,,,,,"(Rock&Pop, Jazz)",6
138,"(Rock&Pop, Rock&Pop)",7,,,,,,"(Rock&Pop, Hip-Hop)",5
178,"(Religious, Rock&Pop)",7,,,,,,"(Rock&Pop, Alternative&Punk)",5
80,"(Reggae, R&B&Soul)",7,,,,,,"(Rock&Pop, Childrens's)",4
48,"(Latin, R&B&Soul)",7,,,,,,"(Rock&Pop, Soundtracks&More)",3
224,"(Jazz, Country)",7,,,,,,"(Rock&Pop, Reggae)",3
95,"(Electronic&Dance, Hip-Hop)",7,,,,,,"(Rock&Pop, Folk)",3
122,"(EasyListening&Vocals, Folk)",7,,,,,,"(Rock&Pop, Religious)",2
170,"(Blues, Folk)",7,,,,,,"(Rock&Pop, EasyListening&Vocals)",2
152,"(World, Jazz)",6,,,,,,"(Rock&Pop, World)",1
42,"(Rock&Pop, Jazz)",6,,,,,,,
245,"(Reggae, Latin)",6,,,,,,,
107,"(NewAge, Country)",6,,,,,,,
38,"(Jazz, Jazz)",6,,,,,,,
231,"(Folk, Folk)",6,,,,,,,
149,"(Country, Rock&Pop)",6,,,,,,,
162,"(Country, R&B&Soul)",6,,,,,,,
125,"(Country, Jazz)",6,,,,,,,
136,"(Country, Electronic&Dance)",6,,,,,,,
77,"(Classical, EasyListening&Vocals)",6,,,,,,,
15,"(Childrens's, Religious)",6,,,,,,,
36,"(Blues, NewAge)",6,,,,,,,
3,"(Blues, Blues)",6,,,,,,,
238,"(World, Alternative&Punk)",5,,,,,,,
66,"(Soundtracks&More, Country)",5,,,,,,,
16,"(Rock&Pop, Hip-Hop)",5,,,,,,,
164,"(Rock&Pop, Alternative&Punk)",5,,,,,,,
183,"(Religious, Country)",5,,,,,,,
195,"(R&B&Soul, Jazz)",5,,,,,,,
129,"(NewAge, R&B&Soul)",5,,,,,,,
47,"(Latin, Alternative&Punk)",5,,,,,,,
58,"(Jazz, Folk)",5,,,,,,,
116,"(Jazz, Childrens's)",5,,,,,,,
243,"(Folk, Blues)",5,,,,,,,
13,"(Electronic&Dance, Alternative&Punk)",5,,,,,,,
45,"(Country, Latin)",5,,,,,,,
93,"(Country, Folk)",5,,,,,,,
128,"(Childrens's, Latin)",5,,,,,,,
115,"(Childrens's, Jazz)",5,,,,,,,
146,"(Childrens's, EasyListening&Vocals)",5,,,,,,,
79,"(Childrens's, Comedy&SpokenWord)",5,,,,,,,
199,"(Childrens's, Blues)",5,,,,,,,
194,"(Childrens's, Alternative&Punk)",5,,,,,,,
177,"(Blues, Country)",5,,,,,,,
51,"(Blues, Classical)",5,,,,,,,
37,"(World, Folk)",4,,,,,,,
82,"(World, Blues)",4,,,,,,,
226,"(Rock&Pop, Childrens's)",4,,,,,,,
87,"(Religious, Religious)",4,,,,,,,
229,"(Latin, Reggae)",4,,,,,,,
44,"(Jazz, Comedy&SpokenWord)",4,,,,,,,
100,"(Electronic&Dance, Reggae)",4,,,,,,,
217,"(Country, Hip-Hop)",4,,,,,,,
252,"(Country, Childrens's)",4,,,,,,,
201,"(Classical, Jazz)",4,,,,,,,
246,"(Childrens's, R&B&Soul)",4,,,,,,,
175,"(Childrens's, Folk)",4,,,,,,,
30,"(Blues, Comedy&SpokenWord)",4,,,,,,,
52,"(Alternative&Punk, EasyListening&Vocals)",4,,,,,,,
184,"(Soundtracks&More, Religious)",3,,,,,,,
176,"(Soundtracks&More, Childrens's)",3,,,,,,,
91,"(Rock&Pop, Soundtracks&More)",3,,,,,,,
209,"(Rock&Pop, Reggae)",3,,,,,,,
8,"(Rock&Pop, Folk)",3,,,,,,,
131,"(Religious, Latin)",3,,,,,,,
61,"(Religious, Folk)",3,,,,,,,
235,"(Religious, EasyListening&Vocals)",3,,,,,,,
212,"(Reggae, Reggae)",3,,,,,,,
106,"(Reggae, Jazz)",3,,,,,,,
113,"(Reggae, Electronic&Dance)",3,,,,,,,
237,"(Reggae, Comedy&SpokenWord)",3,,,,,,,
211,"(Reggae, Childrens's)",3,,,,,,,
88,"(Reggae, Blues)",3,,,,,,,
109,"(R&B&Soul, EasyListening&Vocals)",3,,,,,,,
135,"(NewAge, Folk)",3,,,,,,,
159,"(NewAge, Blues)",3,,,,,,,
250,"(Jazz, Latin)",3,,,,,,,
46,"(Jazz, Hip-Hop)",3,,,,,,,
242,"(Folk, World)",3,,,,,,,
84,"(Folk, Jazz)",3,,,,,,,
206,"(Folk, Comedy&SpokenWord)",3,,,,,,,
118,"(Electronic&Dance, Rock&Pop)",3,,,,,,,
22,"(Electronic&Dance, Childrens's)",3,,,,,,,
143,"(EasyListening&Vocals, Rock&Pop)",3,,,,,,,
137,"(EasyListening&Vocals, Classical)",3,,,,,,,
34,"(Country, Religious)",3,,,,,,,
169,"(Country, NewAge)",3,,,,,,,
233,"(Country, EasyListening&Vocals)",3,,,,,,,
204,"(Country, Comedy&SpokenWord)",3,,,,,,,
230,"(Classical, Latin)",3,,,,,,,
57,"(Classical, Comedy&SpokenWord)",3,,,,,,,
182,"(Classical, Alternative&Punk)",3,,,,,,,
40,"(Childrens's, World)",3,,,,,,,
72,"(Blues, EasyListening&Vocals)",3,,,,,,,
114,"(Blues, Childrens's)",3,,,,,,,
96,"(Alternative&Punk, Religious)",3,,,,,,,
54,"(Alternative&Punk, R&B&Soul)",3,,,,,,,
111,"(Alternative&Punk, Latin)",3,,,,,,,
49,"(Alternative&Punk, Childrens's)",3,,,,,,,
240,"(World, World)",2,,,,,,,
218,"(World, Religious)",2,,,,,,,
53,"(World, NewAge)",2,,,,,,,
11,"(World, Childrens's)",2,,,,,,,
68,"(Soundtracks&More, R&B&Soul)",2,,,,,,,
31,"(Soundtracks&More, Latin)",2,,,,,,,
19,"(Rock&Pop, Religious)",2,,,,,,,
213,"(Rock&Pop, EasyListening&Vocals)",2,,,,,,,
210,"(Reggae, Hip-Hop)",2,,,,,,,
188,"(Reggae, Alternative&Punk)",2,,,,,,,
29,"(R&B&Soul, Religious)",2,,,,,,,
108,"(R&B&Soul, Latin)",2,,,,,,,
133,"(R&B&Soul, Folk)",2,,,,,,,
190,"(R&B&Soul, Childrens's)",2,,,,,,,
27,"(NewAge, EasyListening&Vocals)",2,,,,,,,
71,"(NewAge, Comedy&SpokenWord)",2,,,,,,,
76,"(NewAge, Childrens's)",2,,,,,,,
67,"(NewAge, Alternative&Punk)",2,,,,,,,
123,"(Latin, Rock&Pop)",2,,,,,,,
26,"(Latin, Religious)",2,,,,,,,
207,"(Latin, Jazz)",2,,,,,,,
7,"(Latin, EasyListening&Vocals)",2,,,,,,,
165,"(Latin, Comedy&SpokenWord)",2,,,,,,,
60,"(Latin, Childrens's)",2,,,,,,,
241,"(Latin, Blues)",2,,,,,,,
187,"(Jazz, Religious)",2,,,,,,,
150,"(Jazz, Electronic&Dance)",2,,,,,,,
