,id,scaled_skl,scaled_rp,scaled_rh,bpm,scaled_bh,scaled_mfcc,key,scale,scaled_levenshtein,scaled_corr,scaled_js,aggregated
0,music/Oh_Pretty_Woman/roy_orbison+Black_and_White_Night+17-Oh_Pretty_Womanmp3,0.07636764947226768,0.0,0.0, 130.243362427,0.0,0.0, E, major,0.0,0.0,0.0,0.00954595618403346
1,music/Red_Red_Wine/neil_diamond+Hot_August_Night_Disc_1+10-Red_Red_Winemp3,0.10854816720610722,0.2820189627395498,0.4479526253671122, 129.898986816,0.1051069821635252,0.112234696196957, C, major,0.6826411075612353,0.9661195252171777,0.22990233630329565,0.36681555034436997
2,music/Gold_Dust_Woman/sheryl_crow+Live_from_Central_Park+07-Gold_Dust_Womanmp3,0.0448863038132244,0.26952834644128304,0.33433140284906543, 128.775222778,0.2749188223189434,0.11103847211872385, G, major,0.6411075612353567,0.9630717200705042,0.34102533860540385,0.3724884959315631
3,music/Lodi/creedence_clearwater_revival+Live_in_Europe+08-Lodimp3,0.05794661292309539,0.29545753138762837,0.25729154887052946, 132.643798828,0.4067084989537276,0.11304478168050926, A#, major,0.7231096911608094,0.9682796391749612,0.19070271115762902,0.37656762691361123
4,music/Proud_Mary/creedence_clearwater_revival+Live_in_Europe+10-Proud_Marymp3,0.0,0.36159053790535467,0.3034499766695029, 135.161499023,0.49779500671671895,0.12100814153668922, D, major,0.678381256656017,0.9790164699673526,0.22096775789285364,0.39527614341806105
5,music/Street_Fighting_Man/rolling_stones+Get_Yer_Ya-Ya_s_Out_+10-Street_Fighting_Manmp3,0.4244606611528625,0.2690993640315004,0.19741019131007603, 135.515930176,0.5593307707530438,0.07973812025297655, B, major,0.663471778487753,0.9733469410915875,0.10750969823635372,0.4092959406645192
6,music/Abracadabra/steve_miller_band+Steve_Miller_Band_Live_+09-Abracadabramp3,0.3354637954523386,0.3488854211708127,0.32490945022369827, 132.226074219,0.4454066209725463,0.09055360092522159, A, minor,0.6666666666666666,0.97192535434828,0.1484041069468326,0.41652687708829955
7,music/Lodi/tesla+Five_Man_Acoustic_Jam+09-Lodimp3,0.8526322951127091,0.26381013185000995,0.18335957785524112, 129.092514038,0.3240239566584497,0.11882918432237592, C, major,0.6624068157614483,0.9860616767025557,0.03535610857393415,0.4283099683545905
8,music/My_Heart_Will_Go_On/celine_dion+Au_Coer_Du_Stade+11-My_Heart_Will_Go_Onmp3,0.21666557819239024,0.3169502240087617,0.323647270331842, 99.0313949585,0.7330659899552838,0.05942017784427503, D#, major,0.6858359957401491,0.9696080910762426,0.24324861294070038,0.4435552425112056
9,music/Cocaine/eric_clapton+Crossroads_2_Disc_3+07-Cocainemp3,0.2495978170091498,0.3533782249378082,0.28377336480663135, 99.0495834351,0.772971252944083,0.10228825740894044, D, major,0.6624068157614483,0.9730615159907523,0.17269116705571716,0.44627105198931627
10,music/Blue_Collar_Man/styx+Caught_In_The_Act_Disc_2_of_2_+02-Blue_Collar_Man_Long_Nights_mp3,0.9216382653986407,0.288260726037266,0.21608956166113139, 126.074867249,0.47512541084434246,0.051928905070508756, D, minor,0.6411075612353567,0.9720968844127402,0.01817821810226905,0.4480531915952819
11,music/White_Room/cream+Live_Cream_Volume_II+02-White_Roommp3,0.4983905645724441,0.2984703227624141,0.21225868031729475, 111.811828613,0.6436008426688189,0.07132178732818374, G, major,0.6336528221512248,0.9687609335729336,0.28140773424130794,0.4509829609518277
12,music/Maggie_s_Farm/bob_dylan+Live_at_Budokan_Disc_1+06-Maggie_s_Farmmp3,0.6786061141398797,0.3211639076521895,0.2313932423901408, 126.578773499,0.5257438149619401,0.083191589898502, A, minor,0.6048988285410011,0.9860040750416897,0.18000710461839248,0.45137608465546686
13,music/Lady/reo_speedwagon+Arch_Allies_Disc_1+04-Ladymp3,0.27074018524399485,0.3395111354491419,0.44607015617709217, 123.310401917,0.5455659685934857,0.06029887359696035, G, major,0.6645367412140575,0.9489418825867301,0.35732790780413554,0.4541241063331998
14,music/God_Only_Knows/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+07-God_Only_Knowsmp3,0.03557201337023997,0.41066527629716637,0.4852309170257733, 116.500022888,0.7503542355774538,0.057619699089888815, A, major,0.6858359957401491,0.963493814620134,0.24780151352249896,0.4545716831554131
15,music/Downtown_Lights/blue_nile+Hats+02-Downtown_Lightsmp3,0.2172904601172338,0.42662578517535754,0.2890753986770236, 98.2924575806,0.8284259681537175,0.1173257315307613, E, major,0.6261980830670927,0.9637784603565761,0.18189992561926616,0.4563274765871286
16,music/Heart_Of_Gold/tori_amos+Strange_Little_Girls+08-Heart_Of_Goldmp3,0.10732541026033028,0.33969727707407965,0.274996678835122, 120.021446228,0.824516417310872,0.105437840064781, E, minor,0.6496272630457934,0.9819981053142265,0.383613122267729,0.45840151427161674
17,music/Caroline_No/brian_wilson+Brian_Wilson_Live_at_the_Roxy_Theater_Disc_2_+11-Caroline_Nomp3,0.20072539004627998,0.3263281653584565,0.41284044684763815, 143.708587646,0.7191865746282677,0.08751520726435844, C, major,0.6624068157614483,0.9541798762577914,0.3045635378104511,0.4584682517468365
18,music/A_Whiter_Shade_Of_Pale/annie_lennox+Medusa+03-A_Whiter_Shade_Of_Palemp3,0.10076045969686692,0.3652395562584536,0.4125394834353471, 146.054702759,0.8741291079734649,0.08944541592998072, C, major,0.6464323748668797,0.9499257905008757,0.2466172392568295,0.46063617848983723
19,music/Day_Tripper/cheap_trick+Silver+13-Day_Trippermp3,0.5388616735895692,0.3159942588177256,0.2550270359289655, 152.003646851,0.6793217566438895,0.08319945182816502, E, major,0.6592119275825347,0.9772418537051208,0.19255570349241638,0.4626767076985484
20,music/I_m_Losing_You/cheap_trick+Silver+08-I_m_Losing_Yoump3,0.46308044436319085,0.3428013852983934,0.24606985425301237, 107.852676392,0.7650198790044969,0.12744949154140314, A, minor,0.6900958466453674,0.9850478617723685,0.08262902016235517,0.4627742228800734
21,music/White_Room/sheryl_crow_+Live_from_Central_Park+12-White_Roommp3,0.22995012050266336,0.31054969937075194,0.26089369527626055, 106.896240234,0.6925813380369544,0.1383364964012703, G, major,0.630457933972311,0.9649507652849191,0.48121385638176545,0.463616738153362
