,original vs detected,count
0,"(Rock&Pop, World)",3
1,"(Hip-Hop, Rock&Pop)",5
2,"(Blues, Blues)",5
3,"(Country, Alternative&Punk)",8
4,"(Soundtracks&More, NewAge)",4
5,"(Comedy&SpokenWord, Electronic&Dance)",2
6,"(Comedy&SpokenWord, Classical)",1
7,"(Hip-Hop, Childrens's)",1
8,"(Alternative&Punk, Electronic&Dance)",2
9,"(Religious, Blues)",4
10,"(Hip-Hop, Country)",3
11,"(Electronic&Dance, World)",2
12,"(Childrens's, Classical)",1
13,"(Latin, EasyListening&Vocals)",3
14,"(Rock&Pop, Folk)",3
15,"(Folk, R&B&Soul)",1
16,"(Blues, Jazz)",5
17,"(Electronic&Dance, Alternative&Punk)",2
18,"(Alternative&Punk, Reggae)",1
19,"(Hip-Hop, Comedy&SpokenWord)",2
20,"(Country, World)",4
21,"(Childrens's, Religious)",9
22,"(Reggae, Soundtracks&More)",1
23,"(Childrens's, Rock&Pop)",2
24,"(R&B&Soul, R&B&Soul)",6
25,"(Soundtracks&More, Electronic&Dance)",1
26,"(Rock&Pop, Religious)",6
27,"(Latin, Country)",4
28,"(NewAge, Classical)",3
29,"(Latin, Religious)",4
30,"(Blues, Comedy&SpokenWord)",5
31,"(Blues, Latin)",2
32,"(R&B&Soul, Religious)",5
33,"(NewAge, EasyListening&Vocals)",1
34,"(Alternative&Punk, Folk)",5
35,"(Alternative&Punk, Classical)",4
36,"(Soundtracks&More, Latin)",2
37,"(World, Classical)",4
38,"(Country, Religious)",3
39,"(World, Folk)",5
40,"(Jazz, Jazz)",11
41,"(Blues, NewAge)",5
42,"(R&B&Soul, Blues)",1
43,"(Reggae, Rock&Pop)",2
44,"(Comedy&SpokenWord, World)",1
45,"(Childrens's, World)",3
46,"(EasyListening&Vocals, Jazz)",3
47,"(Rock&Pop, Jazz)",5
48,"(Alternative&Punk, Alternative&Punk)",5
49,"(Electronic&Dance, Religious)",3
50,"(Jazz, Comedy&SpokenWord)",2
51,"(Country, Latin)",1
52,"(Latin, Alternative&Punk)",11
53,"(R&B&Soul, NewAge)",1
54,"(Latin, R&B&Soul)",2
55,"(Latin, Folk)",4
56,"(Blues, Classical)",3
57,"(Alternative&Punk, EasyListening&Vocals)",2
58,"(World, NewAge)",7
59,"(Alternative&Punk, R&B&Soul)",2
60,"(Soundtracks&More, Comedy&SpokenWord)",5
61,"(Jazz, Rock&Pop)",4
62,"(Classical, Comedy&SpokenWord)",2
63,"(Jazz, Folk)",4
64,"(Latin, Childrens's)",2
65,"(Hip-Hop, Soundtracks&More)",2
66,"(EasyListening&Vocals, Religious)",3
67,"(Religious, Folk)",3
68,"(Comedy&SpokenWord, Childrens's)",3
69,"(Comedy&SpokenWord, Folk)",3
70,"(NewAge, Soundtracks&More)",1
71,"(Folk, Rock&Pop)",1
72,"(Soundtracks&More, Country)",3
73,"(NewAge, Alternative&Punk)",7
74,"(Soundtracks&More, R&B&Soul)",1
75,"(Comedy&SpokenWord, Reggae)",1
76,"(Blues, Rock&Pop)",5
77,"(Electronic&Dance, Blues)",3
78,"(Blues, EasyListening&Vocals)",1
79,"(NewAge, Comedy&SpokenWord)",4
80,"(Blues, World)",1
81,"(Folk, Alternative&Punk)",2
82,"(Classical, EasyListening&Vocals)",2
83,"(NewAge, Childrens's)",3
84,"(Alternative&Punk, Comedy&SpokenWord)",2
85,"(Religious, Jazz)",4
86,"(Childrens's, Comedy&SpokenWord)",2
87,"(R&B&Soul, Hip-Hop)",8
88,"(Reggae, Religious)",1
89,"(Reggae, R&B&Soul)",8
90,"(Soundtracks&More, Blues)",1
91,"(World, Blues)",2
92,"(Jazz, Alternative&Punk)",6
93,"(Folk, Jazz)",3
94,"(Religious, Religious)",3
95,"(World, EasyListening&Vocals)",3
96,"(Reggae, Blues)",5
97,"(Jazz, R&B&Soul)",2
98,"(Rock&Pop, Soundtracks&More)",2
99,"(Religious, Soundtracks&More)",4
100,"(Country, Folk)",4
101,"(Electronic&Dance, Folk)",3
102,"(Alternative&Punk, Blues)",4
103,"(Classical, NewAge)",3
104,"(Alternative&Punk, Religious)",7
105,"(R&B&Soul, Reggae)",3
106,"(R&B&Soul, Alternative&Punk)",2
107,"(Electronic&Dance, Reggae)",4
108,"(Hip-Hop, Jazz)",7
109,"(World, R&B&Soul)",4
110,"(Comedy&SpokenWord, Blues)",4
111,"(R&B&Soul, Comedy&SpokenWord)",2
112,"(Rock&Pop, Country)",7
113,"(Reggae, Jazz)",3
114,"(NewAge, Country)",1
115,"(R&B&Soul, EasyListening&Vocals)",5
116,"(R&B&Soul, Latin)",1
117,"(Soundtracks&More, Alternative&Punk)",1
118,"(R&B&Soul, Rock&Pop)",3
119,"(Alternative&Punk, Latin)",2
120,"(Reggae, Electronic&Dance)",1
121,"(Jazz, Childrens's)",3
122,"(NewAge, Jazz)",9
123,"(Electronic&Dance, Rock&Pop)",3
124,"(Folk, Childrens's)",3
125,"(R&B&Soul, Country)",2
126,"(EasyListening&Vocals, Folk)",4
127,"(Childrens's, Country)",5
128,"(Latin, Rock&Pop)",3
129,"(Classical, Religious)",2
130,"(Classical, World)",5
131,"(Country, Jazz)",8
132,"(NewAge, NewAge)",1
133,"(Childrens's, NewAge)",1
134,"(NewAge, World)",1
135,"(NewAge, R&B&Soul)",4
136,"(World, Rock&Pop)",3
137,"(EasyListening&Vocals, Soundtracks&More)",6
138,"(Latin, World)",1
139,"(Classical, R&B&Soul)",1
140,"(Alternative&Punk, Rock&Pop)",5
141,"(R&B&Soul, Folk)",3
142,"(Comedy&SpokenWord, Country)",10
143,"(NewAge, Folk)",1
144,"(EasyListening&Vocals, Comedy&SpokenWord)",3
145,"(Folk, Soundtracks&More)",4
146,"(EasyListening&Vocals, Classical)",10
147,"(Rock&Pop, Rock&Pop)",10
148,"(Electronic&Dance, Classical)",1
149,"(Country, Reggae)",1
150,"(Blues, Alternative&Punk)",3
151,"(Childrens's, Childrens's)",2
152,"(Folk, Classical)",1
153,"(EasyListening&Vocals, Rock&Pop)",7
154,"(Comedy&SpokenWord, Latin)",1
155,"(Childrens's, EasyListening&Vocals)",4
156,"(Electronic&Dance, Country)",4
157,"(EasyListening&Vocals, Country)",6
158,"(Country, Rock&Pop)",4
159,"(Blues, Soundtracks&More)",1
160,"(World, Jazz)",4
161,"(Soundtracks&More, World)",6
162,"(Electronic&Dance, Comedy&SpokenWord)",1
163,"(Childrens's, Reggae)",3
164,"(Reggae, Country)",3
165,"(Soundtracks&More, Jazz)",2
166,"(Hip-Hop, Latin)",3
167,"(NewAge, Blues)",3
168,"(Religious, NewAge)",3
169,"(Hip-Hop, World)",1
170,"(Reggae, Folk)",1
171,"(Hip-Hop, Alternative&Punk)",4
172,"(R&B&Soul, World)",2
173,"(Comedy&SpokenWord, R&B&Soul)",1
174,"(Rock&Pop, Alternative&Punk)",4
175,"(NewAge, Religious)",2
176,"(Hip-Hop, Reggae)",3
177,"(Classical, Soundtracks&More)",3
178,"(Latin, Latin)",3
179,"(Blues, Religious)",6
180,"(Blues, Folk)",5
181,"(Comedy&SpokenWord, Soundtracks&More)",1
182,"(EasyListening&Vocals, EasyListening&Vocals)",2
183,"(Childrens's, Folk)",7
184,"(Religious, Alternative&Punk)",4
185,"(Blues, Country)",3
186,"(Folk, Religious)",6
187,"(Soundtracks&More, Childrens's)",1
188,"(Classical, Classical)",25
189,"(Religious, Rock&Pop)",6
190,"(Religious, Country)",7
191,"(Jazz, Blues)",5
192,"(Soundtracks&More, EasyListening&Vocals)",4
193,"(Soundtracks&More, Religious)",2
194,"(Hip-Hop, R&B&Soul)",2
195,"(Jazz, Religious)",7
196,"(World, Comedy&SpokenWord)",1
197,"(NewAge, Electronic&Dance)",1
198,"(Soundtracks&More, Classical)",5
199,"(Reggae, Alternative&Punk)",4
200,"(Comedy&SpokenWord, NewAge)",6
201,"(Jazz, Reggae)",1
202,"(R&B&Soul, Childrens's)",1
203,"(Country, Blues)",4
204,"(Hip-Hop, Religious)",2
205,"(Latin, Soundtracks&More)",2
206,"(Hip-Hop, Blues)",7
207,"(Religious, Classical)",6
208,"(Childrens's, Alternative&Punk)",3
209,"(Alternative&Punk, Soundtracks&More)",1
210,"(R&B&Soul, Jazz)",5
211,"(Soundtracks&More, Folk)",2
212,"(EasyListening&Vocals, NewAge)",1
213,"(Childrens's, Soundtracks&More)",2
214,"(Childrens's, Blues)",3
215,"(Electronic&Dance, R&B&Soul)",1
216,"(Classical, Jazz)",3
217,"(Electronic&Dance, Jazz)",4
218,"(Comedy&SpokenWord, Religious)",2
219,"(Country, Comedy&SpokenWord)",2
220,"(Folk, Country)",4
221,"(Folk, Comedy&SpokenWord)",4
222,"(Latin, Jazz)",7
223,"(NewAge, Rock&Pop)",4
224,"(Reggae, Hip-Hop)",3
225,"(Reggae, Childrens's)",4
226,"(Reggae, Reggae)",7
227,"(Rock&Pop, EasyListening&Vocals)",1
228,"(Country, Country)",9
229,"(EasyListening&Vocals, World)",3
230,"(Alternative&Punk, Jazz)",4
231,"(World, Religious)",6
232,"(Rock&Pop, Latin)",1
233,"(Rock&Pop, Blues)",4
234,"(Hip-Hop, Folk)",1
235,"(NewAge, Reggae)",2
236,"(Soundtracks&More, Soundtracks&More)",8
237,"(World, Soundtracks&More)",2
238,"(Jazz, Country)",4
239,"(Religious, World)",1
240,"(Electronic&Dance, Electronic&Dance)",17
241,"(Rock&Pop, Childrens's)",4
242,"(Soundtracks&More, Rock&Pop)",2
243,"(Religious, Childrens's)",2
244,"(Comedy&SpokenWord, Comedy&SpokenWord)",11
245,"(Latin, Reggae)",1
246,"(Classical, Latin)",2
247,"(Folk, Folk)",10
248,"(Country, Soundtracks&More)",1
249,"(Country, EasyListening&Vocals)",1
250,"(Alternative&Punk, Country)",4
251,"(Religious, EasyListening&Vocals)",3
252,"(NewAge, Latin)",2
253,"(Reggae, Comedy&SpokenWord)",3
254,"(World, Alternative&Punk)",4
255,"(World, World)",5
256,"(Latin, Blues)",1
257,"(Folk, World)",7
258,"(Folk, Blues)",4
259,"(Hip-Hop, Hip-Hop)",7
260,"(Electronic&Dance, EasyListening&Vocals)",2
261,"(Reggae, Latin)",4
262,"(Childrens's, R&B&Soul)",3
263,"(EasyListening&Vocals, Latin)",2
264,"(Classical, Folk)",2
265,"(Jazz, Latin)",1
266,"(Comedy&SpokenWord, Alternative&Punk)",3
267,"(Latin, Hip-Hop)",2
