,original,detected,count
0,HipHop,WorldMusic,7
1,Electronic,Electronic,11
2,Electronic,Metal,1
3,Electronic,Pop,27
4,Pop,Soundtrack,3
5,Rock,WorldMusic,9
6,Metal,Pop,12
7,Rock,Soundtrack,1
8,Electronic,Reggae,11
9,Reggae,Rock,12
10,WorldMusic,HipHop,11
11,Reggae,Electronic,8
12,WorldMusic,Jazz,15
13,Electronic,HipHop,14
14,HipHop,Rock,14
15,Soundtrack,Soundtrack,18
16,Pop,Reggae,8
17,Rock,Rock,14
18,Pop,Klassik,1
19,Pop,Rock,20
20,Electronic,Rock,20
21,WorldMusic,Klassik,5
22,Pop,WorldMusic,6
23,Rock,Reggae,7
24,Metal,Jazz,2
25,Reggae,Metal,2
26,WorldMusic,WorldMusic,8
27,WorldMusic,Reggae,6
28,Rock,HipHop,15
29,Soundtrack,Klassik,10
30,HipHop,Reggae,20
31,Metal,Metal,37
32,WorldMusic,Pop,20
33,Metal,Reggae,3
34,Metal,WorldMusic,9
35,Reggae,Reggae,20
36,Soundtrack,HipHop,7
37,HipHop,Jazz,5
38,Soundtrack,Electronic,7
39,Soundtrack,Rock,4
40,Reggae,Jazz,5
41,Pop,HipHop,11
42,HipHop,Pop,12
43,Reggae,Soundtrack,1
44,Metal,Rock,23
45,WorldMusic,Rock,12
46,HipHop,Metal,6
47,Pop,Pop,25
48,Pop,Jazz,13
49,Reggae,HipHop,30
50,WorldMusic,Electronic,9
51,Electronic,WorldMusic,4
52,Reggae,WorldMusic,4
53,Soundtrack,Pop,17
54,Rock,Jazz,8
55,Rock,Electronic,9
56,Rock,Metal,11
57,Metal,Electronic,2
58,HipHop,Electronic,6
59,HipHop,HipHop,30
60,Electronic,Soundtrack,3
61,Reggae,Klassik,1
62,Electronic,Jazz,9
63,Soundtrack,WorldMusic,15
64,Metal,HipHop,12
65,Pop,Metal,1
66,Pop,Electronic,12
67,Soundtrack,Reggae,5
68,WorldMusic,Metal,2
69,Soundtrack,Jazz,17
70,Rock,Pop,26
71,WorldMusic,Soundtrack,12
72,Reggae,Pop,17
