,id,scaled_skl,scaled_rp,scaled_rh,bpm,scaled_bh,scaled_mfcc,key,scale,scaled_levenshtein,scaled_corr,scaled_js,aggregated
0,music/Electronic/Daft Punk - Within.mp3,0.0,0.0,0.0, 110.342224121,0.0,0.0, C#, major,0.0,0.0,0.0,0.0
1,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.1181286625920067,0.1516498356545115,0.22744769171010912, 117.647331238,0.4726424079302126,0.1341376847002269, D, minor,0.14627659574468085,0.8166547268258306,0.1707675026658761,0.2797131384779318
2,music/World Music/anna RF - Why.mp3,0.07569569021124925,0.22125872249400244,0.28318734370183407, 112.351074219,0.3745173004941671,0.230772824509244, G, minor,0.18439716312056736,0.7881844377552452,0.09210174829130037,0.28126440382220125
3,music/World Music/John Butler - Ocean.mp3,0.11506739446815073,0.14445113451168495,0.15853635525958737, 97.3883056641,0.5031781247047928,0.23152842154636527, E, major,0.37810283687943264,0.6953558346971968,0.058051756718052794,0.28553398234815797
4,music/Jazz/Lou Tavano - The Call.mp3,0.029941022913798937,0.12542034223700746,0.15139665464265, 184.570266724,0.5824170051708678,0.33237566517217926, E, minor,0.212322695035461,0.8040849706681552,0.07580854490086297,0.2892208625926228
5,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.035480007635789686,0.16205297557159404,0.21992382686306777, 178.205566406,0.5723063247503225,0.24418585780542004, D, minor,0.17863475177304963,0.8323627412379746,0.08106292480939885,0.29075117630582714
6,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.11489041730494873,0.14613606213965824,0.2319930237056261, 138.597213745,0.5438351764583814,0.09247824266728148, D, major,0.28147163120567376,0.8631560529977917,0.08420691199474589,0.2947709398092634
7,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.04236043116338884,0.2703328059407315,0.24536778046026778, 104.842964172,0.6286029674803673,0.11575046058183916, A, minor,0.2375886524822695,0.7905350557445419,0.038080820205765024,0.2960773717573964
8,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.09254462177729422,0.14891411456970113,0.18859732804696525, 172.265686035,0.5262555886101531,0.25337023824696486, C, major,0.212322695035461,0.8010405127925733,0.15291319165344064,0.2969947863415692
9,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.15092454624363,0.13535747583983943,0.26809340653572483, 98.4524993896,0.7201567211215781,0.10599516121386293, A, major,0.13652482269503546,0.8084991078867273,0.1216413124268959,0.30589906924541177
10,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.24127027187216796,0.16737326987148804,0.19611628185889876, 106.524047852,0.45205296926128913,0.21597374447101986, D, major,0.13785460992907803,0.9058796901675529,0.19025027049740073,0.31334638849111196
11,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.13105608651977116,0.16968088740779516,0.26361187823114296, 165.502151489,0.5679841668305631,0.16409084833021886, A, minor,0.2052304964539007,0.860182066122299,0.16451490666857174,0.31579391707053284
12,music/Soundtrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.11396283468772657,0.19097849102209447,0.30726183428234943, 136.45451355,0.5890855818116776,0.16586481367064615, A, minor,0.22384751773049646,0.8271823218138377,0.12180856591224154,0.31749899511638374
13,music/Pop/David Bowie - Life On Mars.mp3,0.11034517730789478,0.29952493995207735,0.3123185104110763, 125.222671509,0.6102799144538068,0.12874231705198827, A#, major,0.1573581560283688,0.852144463149326,0.10387862794991527,0.32182401328805665
14,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.1136300982564423,0.2195552106485465,0.22101946487770846, 93.9716186523,0.9203622549877426,0.11574644152979367, A#, major,0.14760638297872342,0.7749797412068936,0.07578226951089839,0.3235852329995936
15,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.1518528680691605,0.14793673159626972,0.1591647391019558, 124.987091064,0.8318030517257132,0.22814921478857406, D#, major,0.14671985815602837,0.8119117108706329,0.12807894717307805,0.32570214018517657
16,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.07796671850858673,0.16878186317750035,0.2928415241180735, 132.522079468,0.6435328533619933,0.16768741945499396, C, major,0.2974290780141844,0.8378873638881256,0.1251876756283232,0.32641431201897264
17,music/Rock/Radiohead - Creep.mp3,0.07664396280773872,0.1726843680905122,0.17201691797911264, 92.4155807495,0.6633061652416711,0.33159415401959197, C, major,0.14051418439716312,0.9539071228697423,0.10566981336591977,0.3270420860964315
18,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.0919998273551063,0.29804762458226747,0.31445918488428726, 117.597358704,0.7412686667709409,0.13447040424982953, A, major,0.14583333333333334,0.8502391559447116,0.09335441418171887,0.33370907641277436
19,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.2232853367567396,0.1628304737061679,0.1879707833574206, 172.265808105,0.8352311559111893,0.1368346440272982, C, minor,0.14804964539007093,0.8260802151613882,0.16264735130226154,0.3353662007015671
20,music/Soundtrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.08811405037949235,0.19015389404090344,0.37070445478205183, 89.8669128418,0.6151666400818915,0.3284739053856274, C#, major,0.14937943262411346,0.8313941337341636,0.12236738342467433,0.3369692368066147
21,music/Electronic/The XX - Intro.mp3,0.13891137159815678,0.2932719664772801,0.3008003635199882, 100.450759888,0.7789974494102051,0.15040656333925356, F, major,0.13962765957446807,0.7724088632199382,0.13508411631763537,0.3386885441821157
22,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.4925835445837157,0.1880272269066752,0.09685540457226514, 111.668838501,0.3087184641330085,0.4028235617543896, G, minor,0.14849290780141844,0.8113105548862758,0.26376568301721154,0.33907216845687
23,music/Klassik/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.30143803324151774,0.2083439453545828,0.31828456310954495, 111.442993164,0.4060332985924523,0.20798766689437737, D, minor,0.15780141843971632,0.9511193555277412,0.1788694876283031,0.3412347210985295
24,music/Jazz/Whiplash Soundtrack - Caravan.mp3,0.19535462950133303,0.14349016665558015,0.166794737978979, 142.548370361,0.5277407225587046,0.22864362682673162, C#, major,0.4521276595744681,0.8695302110062832,0.15093535522720355,0.34182713866616043
25,music/Jazz/Buddy Rich - Caravan (Remastered 2015).mp3,0.13868585076384446,0.1755211669831143,0.1689812421522852, 162.848068237,0.5869638379949608,0.1273895132850185, F, minor,0.561613475177305,0.8140233569655506,0.1663757357092296,0.34244427237891356
26,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.09531559512433867,0.25170491272264006,0.2722093907898726, 178.205444336,0.6893679585835012,0.2061497780354581, A#, major,0.27349290780141844,0.8677669690412345,0.0949552104522965,0.34387034031884506
27,music/Rock/twenty one pilots - Car Radio.mp3,0.060052042060702804,0.3190522867015362,0.3595178325848412, 129.759735107,0.8112458864577154,0.15298404928995935, F, major,0.1950354609929078,0.8423352028872143,0.01286563501602015,0.34413604949886223
28,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.0838132450049532,0.2027615401551051,0.16959561860909306, 154.925735474,0.8621559065434166,0.24450480428482502, C, minor,0.16400709219858156,0.9127683399607973,0.11472587312089003,0.3442915524847078
29,music/Klassik/Liszt - Totentanz.mp3,0.11416114869490676,0.18349366071441484,0.3121874036681575, 164.038589478,0.4349033114305758,0.30146550957827806, D, minor,0.7296099290780141,0.5768469322226388,0.1305055223927324,0.34789667722246476
30,music/World Music/Estas Tonne - The Song of the Butterfly.mp3,0.09427985856479884,0.20002641783231698,0.34964613506706527, 172.265289307,0.5557230620086011,0.18376684592909837, C, minor,1.0,0.2656668577041521,0.13796912592414323,0.34838478787877203
31,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.14291845876080933,0.16805572300807917,0.20810044025143226, 155.900695801,0.6330625815933211,0.5736498684831948, E, minor,0.15070921985815602,0.7876327192198836,0.1404167655818272,0.35056822209458793
32,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.1583452607462589,0.36580190819355896,0.40120552192810977, 117.713493347,0.6316753209143717,0.18119279180651493, D#, minor,0.16622340425531915,0.9147678611115211,0.03434989674819514,0.3566952457129812
33,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.06816217388914363,0.3760183473336698,0.3517063441188943, 102.060325623,0.7468423016943535,0.26535962721744144, B, minor,0.1768617021276596,0.8563033608131277,0.027867643353169574,0.35864018756843247
34,music/Rock/Blink-182 - Adam's Song.mp3,0.19100789819306457,0.2940273556066178,0.28082012536620016, 136.178466797,0.7644985775854727,0.2550174242302684, F, major,0.17331560283687944,0.918507519666217,0.008274075598951224,0.360683572385459
35,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.13949033665961935,0.17065823648903664,0.2780318702716872, 152.013336182,0.6434949429562993,0.3925807597622088, C#, major,0.1453900709219858,0.9646817923818763,0.16223591122074113,0.3620704900829318
36,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.1656220649247339,0.28466884076780363,0.29309294127976726, 94.884765625,0.7524735455675953,0.2506226556419468, E, major,0.13874113475177305,0.922680834069073,0.13363147521463362,0.36769168652716583
37,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.673634298409043,0.143471661519874,0.24828742065596476, 140.128921509,0.4584445273820604,0.2530180411661968, D, minor,0.14804964539007093,0.7991443906937185,0.23710546250106515,0.3701444309647492
38,music/Rock/Red Hot Chili Peppers - Snow (Hey Oh).mp3,0.13096524953198954,0.43331408859472675,0.5117943975865861, 106.173690796,0.4295016361251477,0.3496558501748646, B, major,0.1870567375886525,0.929342391319697,0.023701163884568083,0.374416439350779
39,music/World Music/Wardruna - Wunjo.mp3,0.12603095918795876,0.23047536462573623,0.1972336119354934, 139.853485107,0.8174747767266037,0.43296989917624534, B, minor,0.2632978723404255,0.911246336384472,0.044085178243383934,0.3778517498275399
40,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,0.15680971251371295,0.3848445966269047,0.4317535918555235, 128.125137329,0.8547929252492903,0.17277132963541905, F, minor,0.24069148936170212,0.8395044092627412,0.00362426309829176,0.3855990397004482
41,music/Pop/Fools Garden - Lemon Tree.mp3,0.052261491387536,0.3851619630934839,0.46651513107811177, 143.298110962,0.9509949778004222,0.11687506303124318, G#, major,0.15203900709219859,0.9205729216952124,0.054764995897480226,0.387398193884461
42,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.21150848118884885,0.20607834283640214,0.41488718855289014, 119.966659546,0.8445019226212691,0.2637078654633081, A, minor,0.18306737588652483,0.8559628325241784,0.15980730963622983,0.3924401648387064
43,music/World Music/The HU - Wolf Totem.mp3,0.07273499229855919,0.323985227162629,0.35693900231944015, 86.0263519287,0.8600844621538624,0.39051028447201186, D#, major,0.18218085106382978,0.8871813336460319,0.09094903107316883,0.3955706480236917
44,music/Pop/Camila Cabello - Havana.mp3,0.07552955518351116,0.6130416152710435,0.6536956354378385, 104.904518127,0.6215072793244266,0.116864637900036, G, minor,0.14849290780141844,0.934695896056109,0.013747209498005222,0.3971968420590485
45,music/Metal/Judas Priest - Painkiller.mp3,0.3473104156711211,0.274922215164613,0.2600268623679031, 102.933151245,0.660134575745703,0.4478966127154814, A, major,0.21852836879432624,0.9011683748876103,0.1560438998536044,0.4082539156500453
46,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.320878875075615,0.34307613288485983,0.3488402481237858, 97.9537963867,0.6274200017654356,0.43465902972548853, D#, minor,0.14849290780141844,0.9445302260255951,0.11840427250383863,0.4107877117382547
47,music/Metal/Metallica - Moth Into Flame.mp3,0.36757954624482025,0.33932706921309386,0.3467978540009308, 90.3373794556,0.664121424799414,0.46799708932167006, A, minor,0.18971631205673758,0.9141009006329442,0.02115467861894235,0.41384935936106915
48,music/Electronic/Kadebostany - Early Morning Dreams (Kled Mone Remix).mp3,0.049910471244240084,0.6407039688025555,0.6780045434431359, 104.842132568,0.5861247295708908,0.12643778345756349, D, minor,0.27570921985815605,0.8984538042499219,0.08029982469613568,0.4169555431653249
49,music/Reggae/Bob Marley - No Woman No Cry.mp3,0.11310141820037882,0.32630921462667617,0.35048665773163146, 155.295715332,0.8024529643056805,0.48518877891650747, C, major,0.43882978723404253,0.7481316853521774,0.0824317205019361,0.4183665283586288
