,id,scaled_js,scaled_rp,scaled_corr,aggregated
0,music/Electronic/Dynatron - Pulse Power.mp3,0.0,0.0,0.0,0.0
1,music/World Music/Estas Tonne - The Song of the Butterfly.mp3,0.23595618185758874,0.4017305958936547,0.08570671771808791,0.24113116515644376
2,music/World Music/John Butler - Ocean.mp3,0.0664687372551567,0.30848878288914067,0.5966707887291348,0.3238761029578107
3,music/Soundtrack/Mass Effect 3 - Leaving Earth.mp3,0.07298689676295947,0.37479441746497094,0.5361740995107396,0.32798513791288997
4,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.20600173276474876,0.3781088478746383,0.4651499556320867,0.34975351209049127
5,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.1213582282709597,0.37182323242224613,0.5618354630721986,0.35167230792180143
6,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.12676099830093643,0.32544410984260563,0.6374427417634732,0.3632159499690051
7,music/Electronic/The XX - Intro.mp3,0.10078063234092234,0.3964848441038404,0.5937360311287028,0.3636671691911552
8,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.16256641003832437,0.3688563446247594,0.5646063853885315,0.3653430466838718
9,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.19079480036181448,0.34593901962786505,0.6013553892381496,0.37936306974260975
10,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.23496399618676703,0.3607017526907027,0.5535623750195489,0.3830760412990062
11,music/Rock/Radiohead - Creep.mp3,0.09332516140262372,0.3122494764097032,0.7899826128297894,0.39851908354737214
12,music/Rock/Sum 41 - Pieces.mp3,0.10633636901830251,0.37634923047719676,0.7312928217765742,0.40465947375735783
13,music/World Music/Wardruna - Wunjo.mp3,0.09650186611794132,0.3690932273649692,0.7554145841629644,0.4070032258819583
14,music/Electronic/Alan Walker - Faded.mp3,0.10630188932355869,0.44323673528662716,0.6790232727320604,0.40952063244741543
15,music/Jazz/Lou Tavano - The Call.mp3,0.09207671228786575,0.3174723250438156,0.838537980785756,0.41602900603914583
16,music/Klassik/Liszt - Totentanz.mp3,0.2397941671987774,0.3935754000224293,0.6174391179038095,0.4169362283750053
17,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.17511937282230042,0.3772577610339553,0.7097618627012008,0.42071299885248553
18,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.1064766339089263,0.305631323860935,0.852132004109475,0.42141332062644543
19,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.10376616031476284,0.32578747135131125,0.8362641163092249,0.4219392493250997
20,music/World Music/The HU - Wolf Totem.mp3,0.0840236116906604,0.3751713671715922,0.8069473079541924,0.422047428938815
21,music/Metal/Uada - Black Autumn White Spring.mp3,0.14121822594615716,0.3067457505354832,0.8304740547300659,0.4261460104039021
22,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.08043691747738775,0.33544962982832666,0.8700259623136467,0.4286375032064537
23,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.12170766829727725,0.39871012028663044,0.7662983001168706,0.4289053629002595
24,music/Pop/Sigrid - Strangers.mp3,0.0872122769656964,0.3870095577238036,0.81258698364868,0.42893627277939333
25,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.07198725202399711,0.3534934373864424,0.8619292622593901,0.4291366505566099
26,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.01949659494866798,0.36361326409549866,0.9149173131340159,0.4326757240593942
27,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.13507013839573573,0.3297865806833577,0.8363214760069657,0.43372606502868644
28,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.0788630241136704,0.3963332094178148,0.8262738686167398,0.43382336738274163
29,music/World Music/anna RF - Why.mp3,0.0961449792966739,0.3452050036844813,0.8615410880128508,0.43429702366466866
30,music/Jazz/Whiplash Soundtrack - Caravan.mp3,0.08480755928609125,0.2985082101541536,0.9242273526572748,0.43584770736583994
