,id,scaled_mfcc,scaled_rp,scaled_levenshtein,aggregated
0,music/Klassik Solo/JS Bach_ Toccata And Fugue In D Minor BWV 565 - Toccata.mp3,0.0,0.0,0.0,0.0
1,music/Klassik Solo/Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.11277068280742855,0.049190259954870856,0.1468955073195356,0.10295215002727835
2,music/Klassik Solo/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.11277068280742855,0.049190259954870856,0.1468955073195356,0.10295215002727835
3,music/Small Cover Song Library/Rachmaninoff - Op 3_ No 2 by Idil Biret.mp3,0.0828425008465021,0.09173849421890022,0.18828874305906107,0.12095657937482114
4,music/Klassik Orchester/Tchaikovsky_ Piano Concerto No1 In B Flat Minor Op23 TH55 - 1 Allegro non troppo e mo.mp3,0.14094967347125176,0.056120714445906154,0.17213528520949015,0.1230685577088827
5,music/Klassik Orchester/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.14782191961022875,0.07009638368960099,0.16456335184250379,0.12749388504744452
6,music/Small Cover Song Library/Game of Thrones Theme.mp3,0.07321853154582655,0.1689916561113339,0.1413427561837456,0.12785098128030203
7,music/Sountrack/Game Of Thrones - Main Titles.mp3,0.07321853154582655,0.1689916561113339,0.1413427561837456,0.12785098128030203
8,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.12330952028757601,0.12649551055256922,0.14941948510853104,0.13307483864955874
9,music/Sountrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.14026984494774247,0.058842004584859955,0.2584553255931348,0.15252239170857906
10,music/Small Cover Song Library/Game of Thrones Theme Taylor Davis.mp3,0.14093833598337163,0.11999489985619266,0.20242301867743565,0.154452084839
11,music/Small Cover Song Library/Rachmaninov - Op3 No2 by Rachmaninov.mp3,0.22969668569636148,0.07713503795282659,0.17314487632508835,0.15999219999142547
12,music/Klassik Solo/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,0.22969668569636148,0.07713503795282659,0.17314487632508835,0.15999219999142547
13,music/Klassik Solo/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,0.15650081775469252,0.04304550531120362,0.2882382635032812,0.16259486218972577
14,music/Sountrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.15894815722723574,0.07485505270453059,0.25492175668854117,0.16290832220676918
15,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.20308158606383708,0.11248174304493269,0.17364967188288744,0.1630710003305524
16,music/Klassik Orchester/J Strauss I_ Radetzky-Marsch Op228.mp3,0.2256722527617984,0.12945527492156922,0.13881877839475013,0.16464876869270592
17,music/Sountrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.23132682768492183,0.07993497053172179,0.20797576981322563,0.17307918934328972
18,music/Sountrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.21204743523053513,0.12314255593998481,0.18879353861686018,0.1746611765957934
19,music/Klassik Solo/Yuja Wang - Saint-Saëns_ Danse macabre Op40.mp3,0.11993064186601995,0.058587546297558364,0.3503281171125694,0.17628210175871592
20,music/Klassik Orchester/Orchestre Montreal - Saint-Saëns_ Danse Macabre Op40 R171.mp3,0.11036660091151128,0.06643195952176263,0.35739525492175667,0.17806460511834352
21,music/Klassik Orchester/Offenbach_ Orpheus In The Underworld (Orphée aux enfers) - Can-Can (Live At Grosser Saal Musikverei.mp3,0.2664468626839857,0.1083861445414058,0.16203937405350832,0.17895746042629992
22,music/Sountrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.28424446707848244,0.11547456455212461,0.14033316506814741,0.18001739889958482
23,music/Other Metal/Kvelertak - Åpenbaring.wav,0.2146280385149815,0.13339013704274003,0.19485108531044926,0.18095642028939027
24,music/Small Cover Song Library/Fuer Elise 2.mp3,0.30109925189409964,0.07017341015891877,0.1746592629984856,0.18197730835050133
25,music/Klassik Solo/Philippe Entremont Beethoven Bagatelle Für Elise .mp3,0.30109925189409964,0.07017341015891877,0.1746592629984856,0.18197730835050133
26,music/Electronic/The XX - Intro.mp3,0.155058329953693,0.26839557724297425,0.1398283695103483,0.18776075890233854
27,music/Sountrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.13092526455351358,0.07418723527942099,0.35941443715295307,0.18817564566196254
28,music/Other Metal/Behemoth - Chant For Ezkaton 2000 EV.mp3,0.1704188179464632,0.187152267712654,0.21504290762241293,0.19087133109384338
29,music/Klassik Orchester/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.3258146570679423,0.05347483919687103,0.20242301867743565,0.19390417164741636
