,id,scaled_skl,scaled_rp,bpm,scaled_bh,key,scale,scaled_levenshtein,aggregated
0,music/Jazz&Klassik/KeithJarret-Creation/02-KeithJarrett-PartIITokyomp3,4.3943774883610496e-10,0.0, 163.889724731,0.0, E, major,0.0,1.0985943720902624e-10
1,music/Jazz&Klassik/PianoPerlen/09_Various_MartinStadtfeldBachGoldbergvariationenAriamp3,6.901785009822282e-07,0.024007613052557025, 164.142745972,0.10619003166323358, G, major,0.19758745476477685,0.08194644741476712
2,music/Jazz&Klassik/Träumerei/05MendelssohnBartholdy-Allegrettograzioso(Frulingslied)mp3,2.341736511010275e-09,0.05529981288094903, 164.065536499,0.06063974057101358, A, major,0.21544028950542823,0.08284496132478184
3,music/Jazz&Klassik/Sommernacht/10_VariousArtists_MartinStadtfeldAriaGoldberg-Variationenmp3,4.464475207494938e-06,0.025458308418918333, 164.070877075,0.11727040780036249, G, major,0.19638118214716527,0.0847785907104134
4,music/Jazz&Klassik/Sommernacht/17_VariousArtists_KatiaMarielleLabèqueJune-Barcarolle-fromTheSeasonsOp37aNo6mp3,8.177224074706853e-10,0.031207050712451497, 163.620239258,0.11441806903221466, G, minor,0.19686369119420988,0.08562220293914961
5,music/Jazz&Klassik/PianoPerlen/10_Various_ArturRubinsteinChopinFantasie-Impromptump3,4.6232254541550944e-10,0.033929685936163745, 164.170837402,0.10643327911458682, C#, major,0.20361881785283473,0.08599544584147696
6,music/Jazz&Klassik/PianoNocturnes/11_VariousArtists_GershwinPréludeNo2mp3,3.5214095004000564e-09,0.03207556831720064, 163.061645508,0.10226977155791935, F#, major,0.2120627261761158,0.08660201739316131
7,music/Jazz&Klassik/PianoNocturnes/08_VariousArtists_PaderewskyNocturneOp16No4mp3,1.0534446880198769e-08,0.03787829489267948, 154.668060303,0.1189847963674565, A#, major,0.20530759951749095,0.09054267532801845
8,music/Jazz&Klassik/Sommernacht/11_VariousArtists_ThePhiladelphiaOrchestraDansesdespetitscygnes-Excerptsmp3,2.5620136065442116e-10,0.03320510882366512, 154.4193573,0.12865149212867732, F#, major,0.20410132689987937,0.0914894820271058
9,music/Jazz&Klassik/Sommernacht/12_VariousArtists_ArcadiVolodosHungarianRhapsodyNo2mp3,2.658212264856866e-10,0.022048222811513394, 163.353851318,0.0995180003867486, F#, major,0.24463208685162846,0.09154957757892793
10,music/Jazz&Klassik/PianoPerlen/14_Various_AliciadeLarocchaGranadosAndaluzaausSpanischeTänzemp3,1.1428898432065039e-09,0.029305189378490876, 164.221206665,0.13185417865711915, E, minor,0.20651387213510253,0.0919183103284006
11,music/Modern&Soundtrack/Orchestral&Instrumental/Vika-FanEdition/09BohemianRhapsodymp3,7.294068359794481e-10,0.09704134805433816, 163.713394165,0.06979540420171977, D#, major,0.204583835946924,0.09285514723309718
12,music/Jazz&Klassik/KeithJarret-Creation/08-KeithJarrett-PartVIIIRomemp3,2.8147793239277706e-10,0.037005362867940955, 164.713119507,0.11872941781314883, E, minor,0.22629674306393244,0.09550788100662505
13,music/Jazz&Klassik/Sommernacht/06_VariousArtists_JessyeNormanMovement6-Voicemp3,4.585076101104635e-10,0.03883205450408148, 164.708740234,0.15461315253880928, G, major,0.19469240048250905,0.09703440199597685
14,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/17_Various_HowardShorefeatEdwardRossTheBreakingOfTheFellowshipfeaturingInDreamsmp3,3.636025795429549e-10,0.034928778326347165, 154.315628052,0.15715064774363294, D, major,0.2,0.09801985660839568
15,music/Jazz&Klassik/100MeisterwerkederKlassik/Puccini_MadamaButterfly_Act2-Unbeldìvedremomp3,4.470262537511792e-10,0.04106467010859972, 163.979705811,0.14024953482871305, F#, major,0.21158021712907116,0.09822360562835254
16,music/Jazz&Klassik/PianoNocturnes/04_VariousArtists_MozartSonateK310-MvtIImp3,4.181499762707569e-10,0.04991749278036495, 154.452087402,0.14171105394540237, F, major,0.20289505428226778,0.09863090035654626
17,music/Jazz&Klassik/PianoPerlen/12_Various_PhilippeEntremontRavelJeuxdeaump3,2.77149085278261e-10,0.03380106185568891, 163.359558105,0.14870315043387455, C#, minor,0.2135102533172497,0.09900361647099057
18,music/Jazz&Klassik/LangLang-Liszt/13_LangLang_PianoConcertoNo1inEflatmajorS124(LWH4)3Allegromarzialeanimatomp3,3.9016356030191375e-10,0.06318437232326968, 162.87928772,0.12408338591651583, D#, major,0.20916767189384802,0.09910885763094926
19,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/01_HowardShore_TheQuestforErebormp3,3.7606736958777893e-10,0.03304335020386302, 152.311950684,0.1464944307236563, D, minor,0.21712907117008443,0.09916671311841778
20,music/Modern&Soundtrack/Orchestral&Instrumental/AnEveninginRivendell/wav/05SongofBerenandLuthienwav,4.0826356608721425e-10,0.10626983765608426, 163.675308228,0.07934011079720606, D, major,0.21616405307599518,0.10044350048438727
21,music/Jazz&Klassik/PianoPoesie/10_Various_SuzanneCianiBerceusemp3,2.654773047941067e-10,0.05979356153867824, 163.83430481,0.14564097372400087, C, major,0.19758745476477685,0.10075549757323332
