,id,scaled_rp,key,scale,scaled_levenshtein,scaled_mfcc,aggregated
0,music/Oldschool/StrangerThings(Soundtrack)/26-RockYouLikeaHurricane[Explicit]mp3,0.0, G#, minor,0.0,0.0,0.0
1,music/Oldschool/RaidtheArcade-Armada/12-RockYouLikeaHurricanemp3,0.16410023318760683, A, minor,0.06702412868632708,0.024852578367208347,0.08532564674704742
2,music/Metal&Rock/Oldschool&Others/DeepPurple-PerfectStrangers/08-HungryDazemp3,0.15506659911642495, D, minor,0.09785522788203753,0.012774789002523025,0.08856553866699518
3,music/Metal&Rock/Oldschool&Others/ACDC-LiveAtDonington/ACDC-Moneytalks(fromLiveAtDonington)mp3,0.179673967635032, G, major,0.07908847184986595,0.011041199873826858,0.08993454645290827
4,music/Metal&Rock/Oldschool&Others/Saxon-Crusader/Saxon-ALittleBitOfWhatYouFancymp3,0.1830783205677934, G, major,0.07618409294012511,0.012340214991549303,0.0905342094998226
5,music/Metal&Rock/MelodicDeathMetal/InFlames/InFlames-Whoracle/10EverythingCountsmp3,0.1652857403594755, F, minor,0.07685433422698838,0.029841128741839126,0.09066040110943434
6,music/Songs/Metal/German/Knorkator-DingInneSchnauzemp3,0.16054083164515043, C, major,0.08512064343163539,0.027737882045110948,0.09113311904063226
7,music/Songs/Metal/German/Knorkator-DingInneSchnauzemp3,0.16054083164515043, C, major,0.08512064343163539,0.027737882045110948,0.09113311904063226
8,music/Metal&Rock/MelodicDeathMetal/ArchEnemy/ArchEnemy-AsTheStagesBurn/13NoGodsNoMastersmp3,0.14874003983549974, C, minor,0.08668453976764968,0.04355216866198832,0.09299224942171258
9,music/Songs/Metal/Metal&Thrash/Ghost-Ratsmp3,0.18852232356095805, D, minor,0.08579088471849866,0.007796031496629133,0.09403641325869527
10,music/Songs/Metal/Metal&Thrash/Ghost-Ratsmp3,0.18852232356095805, D, minor,0.08579088471849866,0.007796031496629133,0.09403641325869527
11,music/Metal&Rock/Oldschool&Others/Ghost/Ghost-Ratsmp3,0.18852232356095805, D, minor,0.08579088471849866,0.007796031496629133,0.09403641325869527
12,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-VolumeI/ThisIsDeathValley-VolumeI-03NoRespect(FeatJamesTelepofCarmine)mp3,0.18028022403342, D, minor,0.08891867739052725,0.013705303616618083,0.09430140168018845
13,music/Metal&Rock/MelodicDeathMetal/DarkTranquillity/DarkTranquillity-TheGallery/12-BringerofTorturemp3,0.20078444623875372, D#, minor,0.07663092046470063,0.008530678476302081,0.09531534839325213
14,music/Metal&Rock/SymphonicMetal/Delain-Interlude/09-Delain-GetTheDevilOutOfMe(Live)mp3,0.1874893181093681, B, minor,0.08288650580875782,0.018835028388227478,0.09640361743545113
15,music/Metal&Rock/AlternativeMetal/Volbeat-TheStrengthTheSoundTheSongs/07_Volbeat_SayyourNumbermp3,0.18855467013118135, D, minor,0.09092940125111706,0.011064572574800305,0.09684954798569957
16,music/Metal&Rock/AlternativeMetal/Volbeat-TheStrengthTheSoundTheSongs/07_Volbeat_SayyourNumbermp3,0.18855467013118135, D, minor,0.09092940125111706,0.011064572574800305,0.09684954798569957
