,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
0,music/Soundtrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.0,0.0, D#, major,0.0,0.0
1,music/Klassik/J Strauss I_ Radetzky-Marsch Op228.mp3,0.07211404858221072,0.1607089403083208, D, major,0.13368747233289066,0.12217015374114072
2,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.08222713493691453,0.12981820725130724, D, minor,0.17264276228419656,0.1282293681574728
3,music/World Music/Andrey Vinogradov - Medieval Tune.mp3,0.1530368023358122,0.11066246195745418, G, minor,0.1531651173085436,0.13895479386726997
4,music/Metal/Amorphis - House Of Sleep.mp3,0.10547119726941744,0.15169412015648256, C, minor,0.18016821602478972,0.14577784448356323
5,music/Klassik/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.14469571266051184,0.172393868942643, C#, major,0.15670650730411687,0.15793202963575723
6,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.050990393281388234,0.2898280770236014, E, major,0.13368747233289066,0.15816864754596008
7,music/Electronic/Daft Punk - Within.mp3,0.18887564794160794,0.14730087727956265, C#, major,0.14652501106684374,0.16090051209600478
8,music/Soundtrack/Game Of Thrones - Main Titles.mp3,0.24827396558143877,0.09410901853341491, C, minor,0.1438689685701638,0.16208398422833917
9,music/Soundtrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.10825961020366232,0.24187636298651752, C#, major,0.15493581230633025,0.16835726183217004
10,music/Klassik/Lang Lang_La Campanella II etude for piano in G sharp minor (Grand Paganini Étude No 3) S 141 3 (LW A173 3).mp3,0.11039138784410328,0.18852770259861437, G#, minor,0.23151837096060204,0.1768124871344399
11,music/Metal/In Flames - The New Word.mp3,0.12217680600875243,0.21612236265397988, G, minor,0.20185922974767595,0.18005279947013608
12,music/Jazz/Paolo Fresu Jan Lundgren - Kristallen den fina.mp3,0.12858765750660694,0.2673551255138122, D, minor,0.1509517485613103,0.1822981771939098
13,music/Klassik/Rachmaninov - Prélude in C sharp minor Op3 No2.mp3,0.13755543755769273,0.2567174180301776, C#, minor,0.15670650730411687,0.1836597876306624
14,music/Soundtrack/The Hobbit 3 - Howard Shore_Ironfoot [Extended Version].mp3,0.15134851000451946,0.12165694078791689, D, major,0.27976980965028775,0.18425842014757468
15,music/World Music/Estas Tonne - The Song of the Golden Dragon.mp3,0.10645655111720619,0.16838198075977706, C, major,0.29305002213368747,0.18929618467022358
16,music/Jazz/Jukka Perko Avara - Tears In Heaven.mp3,0.12623118249482343,0.3102095303454556, A, major,0.13767153607791058,0.19137074963939657
17,music/Klassik/Bach - Toccaqta & Fugue D Minor BWV 565 Toccata.mp3,0.2591582835206809,0.1735028244720303, D, minor,0.1478530323151837,0.19350471343596495
18,music/Rock/Blink-182 - Adam's Song.mp3,0.12114233946493463,0.28920094405941577, F, major,0.17928286852589642,0.1965420506834156
19,music/World Music/John Butler - Ocean.mp3,0.11498393947285429,0.11444986149050307, E, major,0.3607791057990261,0.19673763558746116
20,music/World Music/anna RF - Why.mp3,0.05420027004596024,0.3574374524939695, G, minor,0.1806108897742364,0.19741620410472205
21,music/Pop/Electric Light Orchestra - Mr Blue Sky.mp3,0.051749019968430496,0.2921942793962183, A#, major,0.26604692341744135,0.2033300742606967
22,music/Metal/Uada - Black Autumn White Spring.mp3,0.19306716621751605,0.08562406519798095, D, minor,0.3377600708277999,0.2054837674144323
23,music/Hip Hop/Kid Cudi - Mr Rager.mp3,0.08797774613396776,0.357956242083555, B, minor,0.17662682602921648,0.20752027141557974
24,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.21618753450957662,0.27141827807195607, A#, major,0.14741035856573706,0.2116720570490899
25,music/Rock/Pvris - My House.mp3,0.17011454755053476,0.2983802481490175, C, major,0.16777335104028332,0.21208938224661186
26,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.2767492024285044,0.15196915555392648, A, minor,0.20761398849048252,0.2121107821576378
27,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.13273991845587815,0.3616114693238468, A, major,0.14918105356352368,0.21451081378108286
28,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.16387379429878055,0.24937279343297833, A, minor,0.2319610447100487,0.21506921081393585
29,music/Pop/David Bowie - Life On Mars.mp3,0.1231300936034069,0.36556537687264934, A#, major,0.1571491810535635,0.21528155050987327
30,music/Electronic/Dynatron - Pulse Power.mp3,0.09128222434310838,0.2911635268800869, D, minor,0.2647189021691014,0.21572155113076555
31,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.08373390159187008,0.40361057239968723, D#, minor,0.16644532979194335,0.21792993459450025
32,music/Metal/Dark Tranquillity - Punish My Heaven.mp3,0.1885302617545704,0.26305410699040727, C#, minor,0.21558211598052235,0.22238882824183334
33,music/Electronic/The XX - Intro.mp3,0.2833241038419803,0.24561236933932548, F, major,0.14121292607348385,0.22338313308492985
34,music/Metal/Judas Priest - Painkiller.mp3,0.19208915496716678,0.2708993596774076, A, major,0.217352810978309,0.22678044187429447
35,music/Klassik/Mozart_ Requiem In D Minor K626 - 3 Sequentia_ Lacrimosa.mp3,0.32542109007128295,0.20698125843626505, D, minor,0.15449313855688357,0.22896516235481054
36,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.1877999290059848,0.3571607426320065, D#, minor,0.1531651173085436,0.23270859631551163
37,music/World Music/The HU - Yuve Yuve Yu.mp3,0.09869021067484114,0.3899816456607853, D#, minor,0.217352810978309,0.23534155577131186
38,music/Rock/Wallows - Scrawny [Explicit].mp3,0.05885056492164293,0.5096092550561284, A, major,0.14254094732182382,0.23700025576653172
39,music/Soundtrack/Outlander - Dance of the Druids (feat Raya Yarbrough).mp3,0.29925977526373754,0.1958030669271324, A, minor,0.21779548472775564,0.2376194423062085
40,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.33276005093628663,0.17949873230155405, C, major,0.20407259849490925,0.23877712724424996
41,music/Rock/Radiohead - Creep.mp3,0.42876157668131465,0.14254622607714623, C, major,0.1460823373173971,0.23913004669195267
42,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.3448455496308574,0.21236068731211497, C, minor,0.16024789729969013,0.23915137808088752
43,music/Electronic/Martin Garrix - Animals (Original Mix).mp3,0.12004116450792197,0.3750024748953607, F, minor,0.23461708720672864,0.24322024220333713
44,music/Rock/Sum 41 - Pieces.mp3,0.2819384174395566,0.3097192250534044, F, major,0.13899955732625055,0.24355239993973718
45,music/Klassik/Alice Sara Ott - Prélude in D Flat Major (_Raindrop_) Op28 No15.mp3,0.2371656700095541,0.23322672330552102, C#, major,0.26206285967242143,0.2441517509958322
46,music/Metal/Metallica - Moth Into Flame.mp3,0.2088111977401518,0.3485924892869232, A, minor,0.18902169101372288,0.24880845934693263
47,music/Klassik/Beethoven - Für Elise.mp3,0.28258135875756835,0.306951077593361, A, minor,0.16201859229747675,0.2505170095494687
48,music/Metal/System Of A Down-Toxicity.mp3,0.11996685464389552,0.46533464670233904, C, minor,0.17175741478530324,0.25235297204384594
49,music/Rock/twenty one pilots - Car Radio.mp3,0.23864590734856747,0.34672492772753527, F, major,0.1814962372731297,0.25562235744974415
50,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,0.10471771923947913,0.5262932147091146, C, major,0.1394422310756972,0.25681772167476363
