,id,scaled_mfcc,scaled_rp,scaled_levenshtein,aggregated
0,music/Melodic Death Metal/In Flames - The New Word.mp3,0.0,0.0,0.0,0.0
1,music/Melodic Death Metal/Mors Principium Est - Masquerade.mp3,0.01781086043202213,0.16754870621285248,0.19034994697773064,0.1252365045408684
2,music/Melodic Death Metal/Dark Tranquillity - Punish My Heaven.mp3,0.053845713698299436,0.17410346895066953,0.23064687168610817,0.15286535144502572
3,music/Small Cover Song Library/Dark Tranquillity - Punish My Heaven.mp3,0.053845713698299436,0.17410346895066953,0.23064687168610817,0.15286535144502572
4,music/Melodic Death Metal/At The Gates - Slaughter of the Soul.mp3,0.04260501115013679,0.19015691462104362,0.2264050901378579,0.15305567196967942
5,music/Melodic Death Metal/Insomnium - Weather the Storm.mp3,0.01410603339525068,0.21300123477193794,0.23329798515376457,0.15346841777365108
6,music/Small Cover Song Library/AC DC - TNT (from Live At Donington).mp3,0.040104723710857215,0.25020198456034515,0.17709437963944857,0.15580036263688365
7,music/Melodic Death Metal/Gormathon - Remember.mp3,0.02313882842615085,0.20638096438793524,0.2486744432661718,0.1593980786934193
8,music/Small Cover Song Library/Serj Tankian - Empty Walls (Orchestra).mp3,0.03910731836523879,0.22737554459262538,0.23276776246023329,0.16641687513936582
9,music/Other Metal/System Of A Down-Toxicity.mp3,0.071574583418998,0.2455351931212496,0.18716861081654296,0.16809279578559685
10,music/Other Metal/Finntroll - Under Bergets Rot.mp3,0.10977929319666148,0.21019665486588718,0.1956521739130435,0.1718760406585307
11,music/Other Metal/Judas Priest - Painkiller.mp3,0.05657550035925433,0.2158484047228457,0.25927889713679747,0.17723426740629913
12,music/Other Metal/Kvelertak - Åpenbaring.wav,0.13339436418431358,0.21718831553148643,0.1818663838812301,0.17748302119901005
13,music/Small Cover Song Library/Serj Tankian - Empty Walls.mp3,0.06656482570613355,0.2608002881530445,0.21951219512195122,0.1822924363270431
14,music/Other Metal/Eluveitie - Neverland.mp3,0.06290054350200974,0.2823697279123955,0.20254506892895016,0.18260511344778516
15,music/Sountrack/Flesh And Bone - Dakini_ Movement IV.mp3,0.08664227581706183,0.22689142219528435,0.2417815482502651,0.1851050820875371
16,music/Small Cover Song Library/Toto - Africa by Leo (feat Hannah Boulton & Rabea Massaad).mp3,0.04016948709370771,0.282976890573788,0.24072110286320256,0.18795582684356607
17,music/Old Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.06884830691996185,0.24208442381947523,0.25344644750795337,0.18812639274913012
18,music/Rock/Rise Against - Prayer of the Refugee.mp3,0.0720402708698826,0.27583151972139663,0.23117709437963946,0.19301629499030626
19,music/Klassik Orchester/Pachelbel_ Canon And Gigue In D Major - 1 Canon.mp3,0.035448878968900685,0.31031231822874283,0.23435843054082714,0.1933732092461569
20,music/Old Pop/Earth Wind And Fire - September.mp3,0.04056222675359451,0.2935079791006747,0.2518557794273595,0.19530866176054293
21,music/Rock/Blink-182 - Adam's Song.mp3,0.12627914956656663,0.2420474968931326,0.21845174973488865,0.19559279873152927
22,music/Melodic Death Metal/Orbit Culture - Sun Of All.mp3,0.17662233953008244,0.18676773968693092,0.2264050901378579,0.1965983897849571
23,music/Old Pop/Corey Hart - Sunglasses At Night.mp3,0.08640854559664514,0.22943291100750737,0.2815482502651113,0.1991299022897546
24,music/Sountrack/Vikings - Floki Appears to Kill Athelstan.mp3,0.04500420682160569,0.30023321867391906,0.256627783669141,0.2006217363882219
25,music/Small Cover Song Library/Dark Tranquillity - Punish My Heaven (Live in Milan 2008).mp3,0.1423276635860817,0.17913012293760677,0.28685047720042417,0.20276942124137087
26,music/Old Pop/David Bowie - Life On Mars.mp3,0.16365614167300047,0.23226044033015938,0.2142099681866384,0.20337551672993273
27,music/Rock/The Offspring - You're Gonna Go Far Kid.mp3,0.020227876667237365,0.36538075839465056,0.2258748674443266,0.20382783416873818
