,id,scaled_mfcc,scaled_rp,scaled_bh,bpm,scaled_rh,scaled_levenshtein,key,scale,scaled_corr,scaled_skl,scaled_js,aggregated
0,music/Electronic/The XX - Intro.mp3,0.0,0.0,0.0, 100.450759888,0.0,0.0, F, major,0.0,0.0,0.0,0.0
1,music/Rock/Sum 41 - Pieces.mp3,0.24942728637824566,0.32546569762719774,0.2207269044307167, 99.7237548828,0.28609417176056534,0.3424242424242424, F, major,1.0,0.2709220495131164,0.1098736153472239,0.3506167459351635
2,music/Soundtrack/Lord Of The Rings - The Battle Of The Pelennor Fields.mp3,0.2788896191403761,0.37884984697080015,0.6598357525738411, 165.502151489,0.39617494464763503,0.6954545454545454, A, minor,0.8094627967226242,0.1324173520562597,0.11120667146214698,0.43278644112852865
3,music/Soundtrack/The Witcher 3 - The Fields of Ard Skellig.mp3,0.6344651710030844,0.3787179287874894,0.6532286338847967, 178.205566406,0.39342009175288284,0.5984848484848485, D, minor,0.5920937644010034,0.21265313750996376,0.1331326022219582,0.44952452225575346
4,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.3220360270513209,0.30748637102139226,0.873251882447446, 154.925735474,0.3418712870737223,0.5590909090909091, C, minor,0.8765317777118911,0.2886365526838113,0.10439155335401638,0.4591620450543137
5,music/Rock/Radiohead - Creep.mp3,0.4586116965386684,0.31815867783428486,0.7106281645462634, 92.4155807495,0.3189223837833247,0.39545454545454545, C, major,0.990239392927577,0.3927573438096738,0.1402341155793418,0.46562579005920995
6,music/Rock/twenty one pilots - Car Radio.mp3,0.27639769370394657,0.3936264804023333,0.8336128836098742, 129.759735107,0.4244569663356573,0.6727272727272727, F, major,0.7940189525329198,0.21094974070735165,0.14212992607256683,0.4684899895114903
7,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.4105368375735967,0.38785876278148324,0.8168050617887028, 117.597358704,0.46835486751444144,0.5060606060606061, A, major,0.8592074972228964,0.22573415861227,0.1534197069035295,0.4784971873071908
8,music/Soundtrack/Interstellar - No Time for Caution.mp3,0.3909470297752431,0.4123737253684699,0.8733519751911877, 119.966659546,0.5122546499032341,0.5878787878787879, A, minor,0.5604828248714051,0.3792350328059008,0.14658372230938874,0.4828884685129522
9,music/Pop/Sigrid - Strangers.mp3,0.2788848203110345,0.5409354521428349,0.7832068207607203, 116.273414612,0.6497918844241903,0.5287878787878788, B, minor,0.7046989021923784,0.327409785550556,0.1138283071522781,0.4909429814152339
10,music/Jazz/Michael Wollny Vincent Peirani The Kiss.mp3,0.2922300714481705,0.3730409289833002,0.6360904949248102, 172.265686035,0.41773786646418876,0.7378787878787879, C, major,0.7229752137429175,0.5644838847818927,0.2420128822280097,0.49830626630650965
11,music/Rock/Blink-182 - Adam's Song.mp3,0.5826645809177003,0.39040553585068516,0.7975821561351476, 136.178466797,0.3587451585716707,0.6333333333333333, F, major,0.8115333526775406,0.4415685221351893,0.1165162984027884,0.5165436172530069
12,music/Electronic/Dynatron - Pulse Power.mp3,0.637641356183297,0.4381615097498293,0.8777557788041256, 116.004959106,0.41556874174283176,0.943939393939394, D, minor,0.46357821465029847,0.2563377606274049,0.10479412797507263,0.5172221104590318
13,music/Reggae/Damian Marley - Pimpa's Paradise.mp3,0.3719195647952334,0.6492648468409099,0.7727506206470602, 94.9815063477,0.7651965040309852,0.5666666666666667, C, major,0.851398275155379,0.33946915894934326,0.13947535299317318,0.5570176237598439
14,music/Reggae/Damian Marley - Confrontation.mp3,0.5533709803272524,0.5028736036412808,0.7729393337104269, 111.168869019,0.5653394401590679,0.7909090909090909, A, minor,0.9231915191621547,0.3198316366552745,0.11690562201037243,0.568170153321865
15,music/Metal/Gojira - Global warming.mp3,0.34432808231208023,0.38207810747540477,0.7741704855429167, 94.3844528198,0.39487874616098784,0.996969696969697, C#, minor,0.6088973745589794,1.0,0.10431711398719051,0.575704950875907
16,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.3925832439595802,0.3432700574422956,0.832787977520256, 122.389251709,0.3429729818826935,0.9424242424242424, C#, minor,0.8850329009775562,0.8179008388135912,0.06208247757741051,0.5773818400747033
17,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.36446111759190053,0.4232900769699859,0.9587580208594165, 140.014526367,0.5317972865426835,1.0, A, minor,0.719060740424798,0.6104770370037564,0.1540853436422009,0.5952412028793428
18,music/Reggae/Damian Marley - Move!.mp3,0.5451513321496931,0.8431800070459045,0.8319962139891969, 122.568321228,0.911184044329191,0.5272727272727272, G#, minor,0.9883625236457102,0.3328388877387503,0.09616378065529861,0.634518689603309
19,music/Reggae/Damian Marley - Welcome To Jamrock.mp3,0.645957567471274,0.7078813400690072,0.8956099743804697, 153.269729614,0.8201781810455012,0.6454545454545455, G, minor,0.8199896268046594,0.5536032787638773,0.16043916608326933,0.6561392100090755
20,music/Reggae/Damian Marley - Beautiful.mp3,0.7874496109589053,0.7836219891773183,0.8457553083793145, 93.0411148071,0.9209424181324278,0.4590909090909091, D#, major,0.9340531883833285,0.47605695440362583,0.046528764522528215,0.6566873928810447
21,music/Metal/Eluveitie - Neverland.mp3,1.0,0.4524919984010664,0.9690697903583531, 109.961982727,0.5488483948978718,0.4590909090909091, B, minor,0.9592556201484083,0.8159312470906972,0.17514712821723066,0.6724793860255671
22,music/Reggae/Damian Marley - The Master Has Come Back.mp3,0.7533734970466405,0.7277522897392553,0.988328942221436, 92.4868392944,0.7486635794517401,0.5575757575757576, A, minor,0.9223894432478856,0.7147572375879778,0.07049181705792322,0.6854165704910772
23,music/Hip Hop/Sido - Spring rauf.mp3,0.8658470728260743,0.8531232855641822,0.8816309641502819, 84.9522781372,0.9345753679019707,0.403030303030303, G, minor,0.9005393156067382,0.7672903257889491,0.1169040845022227,0.7153675899213403
