,id,scaled_mfcc,scaled_rh,key,scale,scaled_levenshtein,aggregated
0,music/Metal/Gojira - Global warming.mp3,0.0,0.0, C#, minor,0.0,0.0
1,music/World Music/ANNA RF - Tum Hi Ho - (annaRF Ft Naadistan).mp3,0.10719458833414822,0.20019715564071575, A#, major,0.31601525262154434,0.20780233219880276
2,music/Rock/Sum 41 - Pieces.mp3,0.15137583546306377,0.2414363232711134, F, major,0.30028598665395617,0.23103271512937776
3,music/Rock/Pvris - My House.mp3,0.159782128544854,0.23656663048440235, C, major,0.2974261201143947,0.23125829304788367
4,music/Jazz/Eric Bibb Celtic Roots Ensemble - St James Infirmary.mp3,0.17000463285450776,0.2828963210625732, A, minor,0.2836034318398475,0.24550146191897615
5,music/Metal/Omnium Gatherum - New World Shadows.mp3,0.123460411044288,0.35697998446004675, C#, minor,0.2836034318398475,0.25468127578139405
6,music/Pop/David Bowie - Life On Mars.mp3,0.1980764029178849,0.2945530516843269, A#, major,0.28026692087702576,0.2576321251597458
7,music/Pop/Aliotta Haynes Jeremiah - Lake Shore Drive.mp3,0.3182695291800288,0.1565327693824935, E, major,0.3179218303145853,0.2642413762923692
8,music/Rock/twenty one pilots - Car Radio.mp3,0.1657098196272828,0.3423609323552001, F, major,0.2921830314585319,0.2667512611470049
9,music/Pop/Anna Burch - 2 Cool 2 Care.mp3,0.1973489683841987,0.31817832368361604, A, major,0.30028598665395617,0.27193775957392363
10,music/Electronic/Daft Punk - Within.mp3,0.17962209046367167,0.3541168277688905, C#, major,0.2840800762631077,0.27260633149855656
11,music/Rock/Billy Talent - Cure for the Enemy.mp3,0.23850420583211868,0.3084462156033462, D#, minor,0.278836987607245,0.27526246968090334
12,music/Jazz/Whiplash Soundtrack - Too Hip To Retire.mp3,0.26047831723497633,0.30949835022809336, C, minor,0.28455672068636795,0.28484446271647923
13,music/Electronic/Fytch - In These Shadows (feat Carmen Forbes).mp3,0.21989987358845722,0.3532130824225491, A, minor,0.2859866539561487,0.2863665366557184
14,music/Rock/Blink-182 - Adam's Song.mp3,0.2846562789553407,0.2953590638767287, F, major,0.2893231649189704,0.28977950258367996
15,music/Pop/Fools Garden - Lemon Tree.mp3,0.17953671082356767,0.41283414788763245, G#, major,0.30123927550047663,0.2978700447372256
