,original,detected,count
0,HipHop,WorldMusic,2
1,Electronic,Electronic,13
2,Electronic,Metal,3
3,Metal,Klassik,1
4,Electronic,Pop,16
5,Metal,Pop,7
6,Rock,WorldMusic,5
7,Pop,Soundtrack,7
8,Rock,Soundtrack,2
9,Electronic,Reggae,15
10,Reggae,Rock,5
11,WorldMusic,HipHop,9
12,Reggae,Electronic,5
13,Electronic,HipHop,12
14,WorldMusic,Jazz,14
15,HipHop,Rock,8
16,Soundtrack,Soundtrack,22
17,Pop,Reggae,18
18,Rock,Rock,16
19,Pop,Klassik,1
20,Pop,Rock,19
21,Electronic,Rock,20
22,Electronic,Klassik,1
23,WorldMusic,Klassik,4
24,Pop,WorldMusic,4
25,Rock,Reggae,12
26,Metal,Jazz,3
27,Reggae,Metal,3
28,WorldMusic,WorldMusic,9
29,WorldMusic,Reggae,19
30,Rock,HipHop,15
31,Soundtrack,Klassik,9
32,HipHop,Reggae,35
33,Metal,Metal,37
34,WorldMusic,Pop,12
35,Metal,Reggae,10
36,Metal,WorldMusic,6
37,Rock,Klassik,1
38,Reggae,Reggae,30
39,Soundtrack,HipHop,11
40,HipHop,Jazz,4
41,Soundtrack,Electronic,4
42,Soundtrack,Rock,2
43,Reggae,Jazz,1
44,Pop,HipHop,7
45,HipHop,Pop,5
46,Reggae,Soundtrack,4
47,Metal,Rock,16
48,WorldMusic,Rock,10
49,HipHop,Metal,2
50,Pop,Pop,23
51,Pop,Jazz,8
52,Reggae,HipHop,33
53,WorldMusic,Electronic,7
54,Electronic,WorldMusic,7
55,Reggae,WorldMusic,9
56,Rock,Jazz,8
57,Soundtrack,Pop,12
58,Rock,Electronic,9
59,Rock,Metal,11
60,Metal,Electronic,4
61,HipHop,Electronic,4
62,Electronic,Soundtrack,3
63,HipHop,HipHop,38
64,Electronic,Jazz,10
65,Soundtrack,WorldMusic,12
66,Pop,Metal,3
67,Metal,HipHop,16
68,Pop,Electronic,10
69,HipHop,Soundtrack,2
70,Soundtrack,Reggae,16
71,WorldMusic,Metal,5
72,Soundtrack,Jazz,12
73,Rock,Pop,21
74,WorldMusic,Soundtrack,11
75,Reggae,Pop,10
