,original,detected,count
0,HipHop,WorldMusic,5
1,Electronic,Electronic,6
2,Pop,Soundtrack,4
3,Metal,Pop,7
4,Rock,WorldMusic,7
5,Electronic,Pop,16
6,Electronic,Reggae,8
7,Reggae,Rock,12
8,Reggae,Electronic,1
9,WorldMusic,HipHop,13
10,Electronic,HipHop,14
11,WorldMusic,Jazz,16
12,HipHop,Rock,9
13,Soundtrack,Soundtrack,19
14,Pop,Reggae,22
15,Rock,Rock,13
16,Pop,Klassik,1
17,Pop,Rock,32
18,Klassik,Jazz,1
19,Electronic,Rock,7
20,WorldMusic,Klassik,4
21,Pop,WorldMusic,12
22,Rock,Reggae,6
23,Metal,Jazz,2
24,WorldMusic,WorldMusic,11
25,Klassik,Klassik,1
26,WorldMusic,Reggae,8
27,HipHop,Reggae,13
28,Rock,HipHop,16
29,Soundtrack,Klassik,4
30,Metal,Metal,38
31,WorldMusic,Pop,21
32,Metal,Reggae,1
33,Metal,WorldMusic,3
34,Soundtrack,HipHop,4
35,Reggae,Reggae,20
36,HipHop,Jazz,10
37,Soundtrack,Electronic,11
38,Soundtrack,Rock,3
39,Klassik,Electronic,1
40,Reggae,Jazz,6
41,Pop,HipHop,25
42,HipHop,Pop,25
43,Metal,Rock,33
44,WorldMusic,Rock,8
45,Klassik,Soundtrack,3
46,Pop,Pop,38
47,Pop,Jazz,19
48,Reggae,HipHop,20
49,WorldMusic,Electronic,10
50,Electronic,WorldMusic,7
51,Klassik,Pop,3
52,Reggae,WorldMusic,2
53,Rock,Jazz,10
54,Soundtrack,Pop,6
55,Rock,Electronic,4
56,Rock,Metal,12
57,Metal,Electronic,1
58,HipHop,Electronic,7
59,Klassik,WorldMusic,1
60,Electronic,Soundtrack,3
61,HipHop,HipHop,21
62,Electronic,Jazz,9
63,Soundtrack,WorldMusic,18
64,Pop,Electronic,10
65,Pop,Metal,7
66,Metal,HipHop,5
67,Soundtrack,Jazz,15
68,Rock,Pop,22
69,WorldMusic,Soundtrack,9
70,Reggae,Pop,39
