,_1,_2,_3
0,music/Electronic/TheXX-Intromp3,"[0.0, 0.0, 0.0, 0.561191878753, 0.0, 0.0, 0.0, 0.0]",0.07014898484411979
1,music/Rock/Sum41-Piecesmp3,"[0.29797921597, 0.247809976765, 0.220726908664, 0.986503606146, 0.096129306678, 0.156774317744, 0.136978983788, 0.109873615347]",0.28159699138773286
2,music/WorldMusic/JohnButler-Oceanmp3,"[0.260704814152, 0.223556155887, 0.515844536403, 0.718862415227, 0.368353891961, 0.347577800324, 0.147466712152, 0.111924856075]",0.33678639777263775
3,music/Electronic/DaftPunk-Withinmp3,"[0.30504854221, 0.293474266372, 0.696969683565, 0.875910672394, 0.133985538069, 0.165240882075, 0.118495636927, 0.121285152057]",0.33880129670857995
4,music/HipHop/KidCudi-MrRagermp3,"[0.312678656694, 0.27327100871, 0.489713789766, 0.883616043672, 0.163760102084, 0.405231413512, 0.102319463371, 0.12462249]",0.34440162097603333
5,music/Jazz/EricBibbCelticRootsEnsemble-StJamesInfirmarymp3,"[0.317179056429, 0.28399363077, 0.719944823563, 0.837514315808, 0.226712037431, 0.21555530842, 0.0594946144386, 0.106636151641]",0.3458787423126189
6,music/Jazz/LouTavano-TheCallmp3,"[0.273773898767, 0.323662108129, 0.655834467424, 0.871660919655, 0.201190982561, 0.281534979572, 0.0573602896237, 0.106480259227]",0.3464372381198078
7,music/Soundtrack/TheHobbit3-HowardShore_IronfootExtendedVersionmp3,"[0.329543874475, 0.322923373186, 0.647396023164, 0.781449591123, 0.280731603573, 0.206470137904, 0.103923640192, 0.102858915633]",0.34691214490621497
8,music/Rock/Pvris-MyHousemp3,"[0.321552544209, 0.323890468606, 0.747804152286, 0.85052624024, 0.150574223735, 0.213298018086, 0.104762512189, 0.0733427548632]",0.3482188642767164
9,music/Jazz/JukkaPerkoAvara-TearsInHeavenmp3,"[0.291028740406, 0.420523093596, 0.494996040068, 0.848298774788, 0.0991067630795, 0.238319243549, 0.27358355286, 0.122400070994]",0.3485320349174912
10,music/Soundtrack/LordOfTheRings-TheBattleOfThePelennorFieldsmp3,"[0.346854913368, 0.343160095313, 0.659835751718, 0.905465899087, 0.195236069758, 0.175292477007, 0.066950602039, 0.111206671462]",0.3505003099690165
11,music/Klassik/Bach-Toccaqta&FugueDMinorBWV565Toccatamp3,"[0.337336691641, 0.364241745197, 0.628338554639, 0.864980141398, 0.097830710336, 0.156209617449, 0.162879679926, 0.201406881194]",0.3516530027226278
12,music/Pop/DavidBowie-LifeOnMarsmp3,"[0.34888135167, 0.402440853141, 0.70078634598, 0.879401465075, 0.139515099957, 0.24719205406, 0.106823637725, 0.111554048426]",0.3670743570043918
13,music/Soundtrack/TheWitcher3-TheFieldsofArdSkelligmp3,"[0.34673413717, 0.340773882574, 0.653228628892, 0.813016300469, 0.168013611229, 0.398784919936, 0.107518050774, 0.133132602222]",0.37015026665832046
14,music/WorldMusic/EstasTonne-TheSongoftheButterflymp3,"[0.381621788381, 0.404646051841, 0.661891221167, 0.0, 1.0, 0.225836429133, 0.11981579596, 0.167806381013]",0.3702022084369762
15,music/Soundtrack/Outlander-DanceoftheDruids(featRayaYarbrough)mp3,"[0.370596360583, 0.384413835281, 0.686084696011, 0.837383336857, 0.213951509996, 0.159964610177, 0.171241089984, 0.153770314439]",0.3721757191660241
16,music/Jazz/WhiplashSoundtrack-TooHipToRetiremp3,"[0.281518285716, 0.296123182167, 0.873251886223, 0.933991123247, 0.156954487452, 0.202411604196, 0.145935488609, 0.104391553354]",0.37432220137053374
17,music/Rock/Radiohead-Creepmp3,"[0.291289277243, 0.276245226892, 0.710628185204, 0.982352305492, 0.111016588686, 0.288254474525, 0.19857926635, 0.140234115579]",0.37482492999616146
18,music/WorldMusic/ANNARF-TumHiHo-(annaRFFtNaadistan)mp3,"[0.320260009435, 0.343277803575, 0.920940557381, 0.896107988081, 0.121650361548, 0.184302839218, 0.109867996414, 0.107371973839]",0.37547244118648093
19,music/Soundtrack/GameOfThrones-MainTitlesmp3,"[0.292229371394, 0.27276932974, 0.852127059678, 0.905799764815, 0.0991067630795, 0.204166382287, 0.220474623866, 0.160038587458]",0.37583898528979465
20,music/Soundtrack/FleshAndBone-Dakini_MovementIVmp3,"[0.282870417412, 0.258930632843, 0.859114579802, 0.874431685527, 0.135686941727, 0.375990854219, 0.118485939678, 0.106664016068]",0.3765218834094729
21,music/WorldMusic/annaRF-Whymp3,"[0.318386879178, 0.433468224267, 0.767719051298, 0.813836698152, 0.177371331348, 0.370264614866, 0.0648577198492, 0.114279576004]",0.3825230118702846
22,music/Rock/twentyonepilots-CarRadiomp3,"[0.360383630567, 0.367657511033, 0.833612897306, 0.898897451038, 0.18885580604, 0.173726210338, 0.106656808349, 0.142129926073]",0.38399003009281185
23,music/Jazz/WhiplashSoundtrack-Caravanmp3,"[0.263748126778, 0.240551155053, 0.639803051205, 0.918501608953, 0.465759251382, 0.193321742261, 0.215673299774, 0.149189489385]",0.38581846559895894
24,music/WorldMusic/EstasTonne-TheSongoftheGoldenDragonmp3,"[0.296939329664, 0.308321257829, 0.706923922911, 0.870942588107, 0.294768183752, 0.289146044483, 0.185202034885, 0.137779945871]",0.3862529134377273
