,original,detected,count
0,HipHop,WorldMusic,3
1,Electronic,Electronic,3
2,Electronic,Metal,2
3,Electronic,Pop,28
4,Pop,Soundtrack,2
5,Rock,WorldMusic,12
6,Metal,Pop,12
7,Electronic,Reggae,9
8,Rock,Soundtrack,1
9,Reggae,Rock,19
10,Reggae,Electronic,5
11,WorldMusic,Jazz,16
12,Electronic,HipHop,7
13,HipHop,Rock,19
14,Soundtrack,Soundtrack,34
15,Pop,Reggae,5
16,Rock,Rock,18
17,Pop,Klassik,1
18,Pop,Rock,25
19,Electronic,Klassik,1
20,Electronic,Rock,22
21,WorldMusic,Klassik,11
22,Pop,WorldMusic,11
23,Rock,Reggae,2
24,Metal,Jazz,2
25,Reggae,Metal,8
26,WorldMusic,WorldMusic,11
27,WorldMusic,Reggae,4
28,Rock,HipHop,2
29,Soundtrack,Klassik,21
30,HipHop,Reggae,16
31,Metal,Metal,50
32,WorldMusic,Pop,14
33,Metal,Reggae,2
34,Metal,WorldMusic,7
35,Reggae,Reggae,17
36,Rock,Klassik,1
37,HipHop,Jazz,7
38,Soundtrack,Electronic,6
39,Soundtrack,Rock,1
40,Reggae,Jazz,6
41,Pop,HipHop,2
42,HipHop,Pop,14
43,Metal,Rock,25
44,HipHop,Metal,10
45,WorldMusic,Rock,11
46,Pop,Pop,34
47,Pop,Jazz,12
48,Reggae,HipHop,18
49,WorldMusic,Electronic,4
50,Electronic,WorldMusic,8
51,Reggae,WorldMusic,5
52,Rock,Jazz,14
53,Soundtrack,Pop,2
54,Rock,Metal,21
55,Rock,Electronic,4
56,Metal,Electronic,1
57,HipHop,Electronic,5
58,Electronic,Soundtrack,6
59,Metal,Soundtrack,1
60,HipHop,HipHop,26
61,Electronic,Jazz,14
62,Soundtrack,WorldMusic,19
63,Pop,Metal,5
64,Pop,Electronic,3
65,WorldMusic,Metal,10
66,Soundtrack,Jazz,17
67,Rock,Pop,25
68,WorldMusic,Soundtrack,19
69,Reggae,Pop,22
