,original vs detected,count
0,"(Electronic, Electronic)",10
1,"(Electronic, Metal)",4
2,"(Metal, Klassik)",2
3,"(Electronic, Pop)",8
4,"(Pop, Soundtrack)",9
5,"(Rock, WorldMusic)",7
6,"(Metal, Pop)",11
7,"(Rock, Soundtrack)",1
8,"(Electronic, Reggae)",26
9,"(Reggae, Rock)",3
10,"(WorldMusic, HipHop)",8
11,"(Reggae, Electronic)",8
12,"(Electronic, HipHop)",15
13,"(WorldMusic, Jazz)",9
14,"(HipHop, Rock)",7
15,"(Soundtrack, Soundtrack)",19
16,"(Pop, Reggae)",28
17,"(Rock, Rock)",12
18,"(Pop, Rock)",14
19,"(Electronic, Rock)",14
20,"(Electronic, Klassik)",2
21,"(WorldMusic, Klassik)",2
22,"(Pop, WorldMusic)",3
23,"(Rock, Reggae)",19
24,"(Metal, Jazz)",4
25,"(Reggae, Metal)",5
26,"(WorldMusic, WorldMusic)",11
27,"(WorldMusic, Reggae)",20
28,"(HipHop, Reggae)",39
29,"(Rock, HipHop)",18
30,"(Soundtrack, Klassik)",3
31,"(Metal, Metal)",33
32,"(WorldMusic, Pop)",7
33,"(Metal, Reggae)",10
34,"(Metal, WorldMusic)",6
35,"(Soundtrack, HipHop)",12
36,"(Reggae, Reggae)",37
37,"(HipHop, Jazz)",2
38,"(Soundtrack, Electronic)",7
39,"(Soundtrack, Rock)",2
40,"(Reggae, Jazz)",1
41,"(Pop, HipHop)",10
42,"(HipHop, Pop)",3
43,"(Reggae, Soundtrack)",8
44,"(Metal, Rock)",17
45,"(WorldMusic, Rock)",10
46,"(HipHop, Metal)",2
47,"(Pop, Pop)",19
48,"(Pop, Jazz)",8
49,"(Reggae, HipHop)",20
50,"(WorldMusic, Electronic)",7
51,"(Electronic, WorldMusic)",9
52,"(Reggae, WorldMusic)",12
53,"(Rock, Jazz)",9
54,"(Soundtrack, Pop)",13
55,"(Rock, Electronic)",6
56,"(Rock, Metal)",13
57,"(Metal, Electronic)",5
58,"(HipHop, Electronic)",5
59,"(Metal, Soundtrack)",3
60,"(Electronic, Soundtrack)",4
61,"(HipHop, HipHop)",35
62,"(Electronic, Jazz)",8
63,"(Soundtrack, WorldMusic)",17
64,"(Pop, Metal)",6
65,"(Metal, HipHop)",9
66,"(Pop, Electronic)",3
67,"(HipHop, Soundtrack)",7
68,"(Soundtrack, Reggae)",19
69,"(WorldMusic, Metal)",7
70,"(Soundtrack, Jazz)",6
71,"(Rock, Pop)",15
72,"(WorldMusic, Soundtrack)",19
73,"(Reggae, Pop)",6
74,"(Soundtrack, Metal)",2
